genome_seqid	gff_seqid	canonical_seqid
BRYG01000001.1	ARU1.0ch01	PubChr01
BRYG01000002.1	ARU1.0ch02	PubChr02
BRYG01000003.1	ARU1.0ch03	PubChr03
BRYG01000004.1	ARU1.0ch04	PubChr04
BRYG01000005.1	ARU1.0ch05	PubChr05
BRYG01000006.1	ARU1.0ch06	PubChr06
BRYG01000007.1	ARU1.0ch07	PubChr07
BRYG01000008.1	ARU1.0ch08	PubChr08
BRYG01000009.1	ARU1.0ch09	PubChr09
BRYG01000010.1	ARU1.0ch10	PubChr10
BRYG01000011.1	ARU1.0ch11	PubChr11
BRYG01000012.1	ARU1.0ch12	PubChr12
BRYG01000013.1	ARU1.0ch13	PubChr13
BRYG01000014.1	ARU1.0ch14	PubChr14
BRYG01000015.1	ARU1.0ch15	PubChr15
BRYG01000016.1	ARU1.0ch16	PubChr16
BRYG01000017.1	ARU1.0ch17	PubChr17
BRYG01000018.1	ARU1.0ch18	PubChr18
BRYG01000019.1	ARU1.0ch19	PubChr19
BRYG01000020.1	ARU1.0ch20	PubChr20
BRYG01000021.1	ARU1.0ch21	PubChr21
BRYG01000022.1	ARU1.0ch22	PubChr22
BRYG01000023.1	ARU1.0ch23	PubChr23
BRYG01000024.1	ARU1.0ch24	PubChr24
BRYG01000025.1	ARU1.0ch25	PubChr25
BRYG01000026.1	ARU1.0ch26	PubChr26
BRYG01000027.1	ARU1.0ch27	PubChr27
BRYG01000028.1	ARU1.0ch28	PubChr28
BRYG01000029.1	ARU1.0ch29	PubChr29

