genome_seqid	gff_seqid	canonical_seqid
BJWL01000001.1	BJWL01000001.1	PubChr01
BJWL01000002.1	BJWL01000002.1	PubChr02
BJWL01000003.1	BJWL01000003.1	PubChr03
BJWL01000004.1	BJWL01000004.1	PubChr04
BJWL01000005.1	BJWL01000005.1	PubChr05
BJWL01000006.1	BJWL01000006.1	PubChr06
BJWL01000007.1	BJWL01000007.1	PubChr07
BJWL01000008.1	BJWL01000008.1	PubChr08
BJWL01000009.1	BJWL01000009.1	PubChr09
BJWL01000010.1	BJWL01000010.1	PubChr10
BJWL01000011.1	BJWL01000011.1	PubChr11
BJWL01000012.1	BJWL01000012.1	PubChr12
BJWL01000013.1	BJWL01000013.1	PubChr13
BJWL01000014.1	BJWL01000014.1	PubChr14
BJWL01000015.1	BJWL01000015.1	PubChr15
BJWL01000016.1	BJWL01000016.1	PubChr16
BJWL01000017.1	BJWL01000017.1	PubChr17
BJWL01000018.1	BJWL01000018.1	PubChr18
BJWL01000019.1	BJWL01000019.1	PubChr19
BJWL01000020.1	BJWL01000020.1	PubChr20
BJWL01000021.1	BJWL01000021.1	PubChr21
BJWL01000022.1	BJWL01000022.1	PubChr22
BJWL01000023.1	BJWL01000023.1	PubChr23
BJWL01000024.1	BJWL01000024.1	PubChr24
BJWL01000025.1	BJWL01000025.1	PubChr25
BJWL01000026.1	BJWL01000026.1	PubChr26
BJWL01000027.1	BJWL01000027.1	PubChr27
BJWL01000028.1	BJWL01000028.1	PubChr28
BJWL01000029.1	BJWL01000029.1	PubChr29
