genome_seqid	gff_seqid	canonical_seqid
Lco1464_v1.0_h2tg000001l	Lco1464_v1.0_h2tg000001l	Lco1464_v1.0_h2tg000001l
Lco1464_v1.0_h2tg000002l	Lco1464_v1.0_h2tg000002l	Lco1464_v1.0_h2tg000002l
Lco1464_v1.0_h2tg000003l	Lco1464_v1.0_h2tg000003l	Lco1464_v1.0_h2tg000003l
Lco1464_v1.0_h2tg000004l	Lco1464_v1.0_h2tg000004l	Lco1464_v1.0_h2tg000004l
Lco1464_v1.0_h2tg000005l	Lco1464_v1.0_h2tg000005l	Lco1464_v1.0_h2tg000005l
Lco1464_v1.0_h2tg000006l	Lco1464_v1.0_h2tg000006l	Lco1464_v1.0_h2tg000006l
Lco1464_v1.0_h2tg000007l	Lco1464_v1.0_h2tg000007l	Lco1464_v1.0_h2tg000007l
Lco1464_v1.0_h2tg000008l	Lco1464_v1.0_h2tg000008l	Lco1464_v1.0_h2tg000008l
Lco1464_v1.0_h2tg000009l	Lco1464_v1.0_h2tg000009l	Lco1464_v1.0_h2tg000009l
Lco1464_v1.0_h2tg000010l	Lco1464_v1.0_h2tg000010l	Lco1464_v1.0_h2tg000010l
Lco1464_v1.0_h2tg000011l	Lco1464_v1.0_h2tg000011l	Lco1464_v1.0_h2tg000011l
Lco1464_v1.0_h2tg000012l	Lco1464_v1.0_h2tg000012l	Lco1464_v1.0_h2tg000012l
Lco1464_v1.0_h2tg000013l	Lco1464_v1.0_h2tg000013l	Lco1464_v1.0_h2tg000013l
Lco1464_v1.0_h2tg000014l	Lco1464_v1.0_h2tg000014l	Lco1464_v1.0_h2tg000014l
Lco1464_v1.0_h2tg000015l	Lco1464_v1.0_h2tg000015l	Lco1464_v1.0_h2tg000015l
Lco1464_v1.0_h2tg000016l	Lco1464_v1.0_h2tg000016l	Lco1464_v1.0_h2tg000016l
Lco1464_v1.0_h2tg000017l	Lco1464_v1.0_h2tg000017l	Lco1464_v1.0_h2tg000017l
Lco1464_v1.0_h2tg000018l	Lco1464_v1.0_h2tg000018l	Lco1464_v1.0_h2tg000018l
Lco1464_v1.0_h2tg000019l	Lco1464_v1.0_h2tg000019l	Lco1464_v1.0_h2tg000019l
Lco1464_v1.0_h2tg000020l	Lco1464_v1.0_h2tg000020l	Lco1464_v1.0_h2tg000020l
Lco1464_v1.0_h2tg000021l	Lco1464_v1.0_h2tg000021l	Lco1464_v1.0_h2tg000021l
Lco1464_v1.0_h2tg000022l	Lco1464_v1.0_h2tg000022l	Lco1464_v1.0_h2tg000022l
Lco1464_v1.0_h2tg000023l	Lco1464_v1.0_h2tg000023l	Lco1464_v1.0_h2tg000023l
Lco1464_v1.0_h2tg000024l	Lco1464_v1.0_h2tg000024l	Lco1464_v1.0_h2tg000024l
Lco1464_v1.0_h2tg000025l	Lco1464_v1.0_h2tg000025l	Lco1464_v1.0_h2tg000025l
Lco1464_v1.0_h2tg000026l	Lco1464_v1.0_h2tg000026l	Lco1464_v1.0_h2tg000026l
Lco1464_v1.0_h2tg000027l	Lco1464_v1.0_h2tg000027l	Lco1464_v1.0_h2tg000027l
Lco1464_v1.0_h2tg000028l		Lco1464_v1.0_h2tg000028l
Lco1464_v1.0_h2tg000029l	Lco1464_v1.0_h2tg000029l	Lco1464_v1.0_h2tg000029l
Lco1464_v1.0_h2tg000030l	Lco1464_v1.0_h2tg000030l	Lco1464_v1.0_h2tg000030l
Lco1464_v1.0_h2tg000031l	Lco1464_v1.0_h2tg000031l	Lco1464_v1.0_h2tg000031l
Lco1464_v1.0_h2tg000032l		Lco1464_v1.0_h2tg000032l
Lco1464_v1.0_h2tg000033c	Lco1464_v1.0_h2tg000033c	Lco1464_v1.0_h2tg000033c
Lco1464_v1.0_h2tg000034c	Lco1464_v1.0_h2tg000034c	Lco1464_v1.0_h2tg000034c
Lco1464_v1.0_h2tg000035l	Lco1464_v1.0_h2tg000035l	Lco1464_v1.0_h2tg000035l
Lco1464_v1.0_h2tg000036l	Lco1464_v1.0_h2tg000036l	Lco1464_v1.0_h2tg000036l
Lco1464_v1.0_h2tg000037l	Lco1464_v1.0_h2tg000037l	Lco1464_v1.0_h2tg000037l
Lco1464_v1.0_h2tg000038l		Lco1464_v1.0_h2tg000038l
Lco1464_v1.0_h2tg000039l	Lco1464_v1.0_h2tg000039l	Lco1464_v1.0_h2tg000039l
Lco1464_v1.0_h2tg000040l	Lco1464_v1.0_h2tg000040l	Lco1464_v1.0_h2tg000040l
Lco1464_v1.0_h2tg000041l	Lco1464_v1.0_h2tg000041l	Lco1464_v1.0_h2tg000041l
Lco1464_v1.0_h2tg000042l	Lco1464_v1.0_h2tg000042l	Lco1464_v1.0_h2tg000042l
Lco1464_v1.0_h2tg000043l		Lco1464_v1.0_h2tg000043l
Lco1464_v1.0_h2tg000044l		Lco1464_v1.0_h2tg000044l
Lco1464_v1.0_h2tg000045l	Lco1464_v1.0_h2tg000045l	Lco1464_v1.0_h2tg000045l
Lco1464_v1.0_h2tg000046l		Lco1464_v1.0_h2tg000046l
Lco1464_v1.0_h2tg000047l	Lco1464_v1.0_h2tg000047l	Lco1464_v1.0_h2tg000047l
Lco1464_v1.0_h2tg000048l	Lco1464_v1.0_h2tg000048l	Lco1464_v1.0_h2tg000048l
Lco1464_v1.0_h2tg000049l	Lco1464_v1.0_h2tg000049l	Lco1464_v1.0_h2tg000049l
Lco1464_v1.0_h2tg000050l	Lco1464_v1.0_h2tg000050l	Lco1464_v1.0_h2tg000050l
Lco1464_v1.0_h2tg000051l	Lco1464_v1.0_h2tg000051l	Lco1464_v1.0_h2tg000051l
