plot_order	assembly_unit_id	biological_species	haplotype_or_subgenome	source_class	anchors	target_bed
1	act_arguta_a_legacy	Actinidia arguta	A	frozen_article_jcvi_reuse	synteny_work/Clematoclethra_scandens.Actinidia_arguta_A.anchors	synteny_work/Actinidia_arguta_A.bed
2	act_arguta_b_legacy	Actinidia arguta	B	frozen_article_jcvi_reuse	synteny_work/Clematoclethra_scandens.Actinidia_arguta_B.anchors	synteny_work/Actinidia_arguta_B.bed
3	act_arguta_c_legacy	Actinidia arguta	C	frozen_article_jcvi_reuse	synteny_work/Clematoclethra_scandens.Actinidia_arguta_C.anchors	synteny_work/Actinidia_arguta_C.bed
4	act_arguta_d_legacy	Actinidia arguta	D	frozen_article_jcvi_reuse	synteny_work/Clematoclethra_scandens.Actinidia_arguta_D.anchors	synteny_work/Actinidia_arguta_D.bed
5	act_chinensis_hongyang_v4_hy4a_legacy	Actinidia chinensis	HY4A	frozen_article_jcvi_reuse	synteny_work/Clematoclethra_scandens.Actinidia_chinensis_A.anchors	synteny_work/Actinidia_chinensis_A.bed
6	act_chinensis_hongyang_v4_hy4p_legacy	Actinidia chinensis	HY4P	frozen_article_jcvi_reuse	synteny_work/Clematoclethra_scandens.Actinidia_chinensis_B.anchors	synteny_work/Actinidia_chinensis_B.bed
7	act_deliciosa_adm_2026_A	Actinidia deliciosa	A	current_exact_jcvi	actinidia_gene_loss_data/qc/clematoclethra_actinidia_jcvi_new_units_v1_20260728/act_deliciosa_adm_2026_A/work/CSC.ADMA.anchors	actinidia_gene_loss_data/qc/chromosome_homology_jcvi_inputs_new_units_20260718/act_deliciosa_adm_2026_A/act_deliciosa_adm_2026_A.bed
8	act_deliciosa_adm_2026_B	Actinidia deliciosa	B	current_exact_jcvi	actinidia_gene_loss_data/qc/clematoclethra_actinidia_jcvi_new_units_v1_20260728/act_deliciosa_adm_2026_B/work/CSC.ADMB.anchors	actinidia_gene_loss_data/qc/chromosome_homology_jcvi_inputs_new_units_20260718/act_deliciosa_adm_2026_B/act_deliciosa_adm_2026_B.bed
9	act_deliciosa_adm_2026_C	Actinidia deliciosa	C	current_exact_jcvi	actinidia_gene_loss_data/qc/clematoclethra_actinidia_jcvi_new_units_v1_20260728/act_deliciosa_adm_2026_C/work/CSC.ADMC.anchors	actinidia_gene_loss_data/qc/chromosome_homology_jcvi_inputs_new_units_20260718/act_deliciosa_adm_2026_C/act_deliciosa_adm_2026_C.bed
10	act_deliciosa_adm_2026_D	Actinidia deliciosa	D	current_exact_jcvi	actinidia_gene_loss_data/qc/clematoclethra_actinidia_jcvi_new_units_v1_20260728/act_deliciosa_adm_2026_D/work/CSC.ADMD.anchors	actinidia_gene_loss_data/qc/chromosome_homology_jcvi_inputs_new_units_20260718/act_deliciosa_adm_2026_D/act_deliciosa_adm_2026_D.bed
11	act_deliciosa_adm_2026_E	Actinidia deliciosa	E	current_exact_jcvi	actinidia_gene_loss_data/qc/clematoclethra_actinidia_jcvi_new_units_v1_20260728/act_deliciosa_adm_2026_E/work/CSC.ADME.anchors	actinidia_gene_loss_data/qc/chromosome_homology_jcvi_inputs_new_units_20260718/act_deliciosa_adm_2026_E/act_deliciosa_adm_2026_E.bed
12	act_deliciosa_adm_2026_F	Actinidia deliciosa	F	current_exact_jcvi	actinidia_gene_loss_data/qc/clematoclethra_actinidia_jcvi_new_units_v1_20260728/act_deliciosa_adm_2026_F/work/CSC.ADMF.anchors	actinidia_gene_loss_data/qc/chromosome_homology_jcvi_inputs_new_units_20260718/act_deliciosa_adm_2026_F/act_deliciosa_adm_2026_F.bed
13	act_eriantha_hap1_2026	Actinidia eriantha	HAP1	current_exact_jcvi	actinidia_gene_loss_data/qc/clematoclethra_actinidia_jcvi_new_units_v1_20260728/act_eriantha_hap1_2026/work/CSC.AEH1.anchors	actinidia_gene_loss_data/qc/chromosome_homology_jcvi_inputs_new_units_20260718/act_eriantha_hap1_2026/act_eriantha_hap1_2026.bed
14	act_eriantha_hap2_2026	Actinidia eriantha	HAP2	current_exact_jcvi	actinidia_gene_loss_data/qc/clematoclethra_actinidia_jcvi_new_units_v1_20260728/act_eriantha_hap2_2026/work/CSC.AEH2.anchors	actinidia_gene_loss_data/qc/chromosome_homology_jcvi_inputs_new_units_20260718/act_eriantha_hap2_2026/act_eriantha_hap2_2026.bed
15	act_hemsleyana_legacy	Actinidia hemsleyana	unphased	frozen_article_jcvi_reuse	synteny_work/Clematoclethra_scandens.Actinidia_hemsleyana.anchors	synteny_work/Actinidia_hemsleyana.bed
16	act_latifolia_legacy	Actinidia latifolia	unphased	frozen_article_jcvi_reuse	synteny_work/Clematoclethra_scandens.Actinidia_latifolia.anchors	synteny_work/Actinidia_latifolia.bed
17	act_longicarpa_legacy	Actinidia longicarpa	unphased	frozen_article_jcvi_reuse	synteny_work/Clematoclethra_scandens.Actinidia_longicarpa.anchors	synteny_work/Actinidia_longicarpa.bed
18	act_macrosperma_legacy	Actinidia macrosperma	unphased	frozen_article_jcvi_reuse	synteny_work/Clematoclethra_scandens.Actinidia_macrosperma.anchors	synteny_work/Actinidia_macrosperma.bed
19	act_polygama_legacy	Actinidia polygama	unphased	frozen_article_jcvi_reuse	synteny_work/Clematoclethra_scandens.Actinidia_polygama.anchors	synteny_work/Actinidia_polygama.bed
20	act_reticulata_legacy	Actinidia reticulata	unphased	frozen_article_jcvi_reuse	synteny_work/Clematoclethra_scandens.Actinidia_reticulata.anchors	synteny_work/Actinidia_reticulata.bed
21	act_rufa_actinidiabase_v1	Actinidia rufa	unphased	current_exact_jcvi_reuse	actinidia_gene_loss_data/qc/actinidia_rufa_jcvi_selection_20260717/actinidiabase_v1/jcvi_run/work/Clematoclethra_scandens.Actinidia_rufa_ActinidiaBase_v1.anchors	actinidia_gene_loss_data/qc/actinidia_rufa_jcvi_selection_20260717/actinidiabase_v1/act_rufa_actinidiabase_v1.bed
22	act_zhejiangensis_a_legacy	Actinidia × zhejiangensis	A	frozen_article_jcvi_reuse	synteny_work/Clematoclethra_scandens.Actinidia_zhejiangensis_A.anchors	synteny_work/Actinidia_zhejiangensis_A.bed
23	act_zhejiangensis_b_legacy	Actinidia × zhejiangensis	B	frozen_article_jcvi_reuse	synteny_work/Clematoclethra_scandens.Actinidia_zhejiangensis_B.anchors	synteny_work/Actinidia_zhejiangensis_B.bed
