assembly_unit_id	biological_species	haplotype_or_subgenome	source_group	target_gff	target_genome
act_arguta_a_legacy	Actinidia arguta	A	legacy	legacy_linked/act_arguta_a_legacy/gff.gff	legacy_linked/act_arguta_a_legacy/genome.fasta
act_arguta_b_legacy	Actinidia arguta	B	legacy	legacy_linked/act_arguta_b_legacy/gff.gff	legacy_linked/act_arguta_b_legacy/genome.fasta
act_arguta_c_legacy	Actinidia arguta	C	legacy	legacy_linked/act_arguta_c_legacy/gff.gff	legacy_linked/act_arguta_c_legacy/genome.fasta
act_arguta_d_legacy	Actinidia arguta	D	legacy	legacy_linked/act_arguta_d_legacy/gff.gff	legacy_linked/act_arguta_d_legacy/genome.fasta
act_chinensis_hongyang_v4_hy4a_legacy	Actinidia chinensis	HY4A	legacy	legacy_linked/act_chinensis_a_legacy/gff.gff3	legacy_linked/act_chinensis_a_legacy/genome.fasta
act_chinensis_hongyang_v4_hy4p_legacy	Actinidia chinensis	HY4P	legacy	legacy_linked/act_chinensis_b_legacy/gff.gff3	legacy_linked/act_chinensis_b_legacy/genome.fasta
act_hemsleyana_legacy	Actinidia hemsleyana		legacy	legacy_linked/act_hemsleyana_legacy/gff.gff	legacy_linked/act_hemsleyana_legacy/genome.fasta
act_latifolia_legacy	Actinidia latifolia		legacy	legacy_linked/act_latifolia_legacy/gff.gff3	legacy_linked/act_latifolia_legacy/genome.fasta
act_longicarpa_legacy	Actinidia longicarpa		legacy	legacy_linked/act_longicarpa_legacy/gff.gff3	legacy_linked/act_longicarpa_legacy/genome.fasta
act_macrosperma_legacy	Actinidia macrosperma	unphased	legacy	legacy_linked/act_macrosperma_legacy/gff.gff3	legacy_linked/act_macrosperma_legacy/genome.fasta
act_polygama_legacy	Actinidia polygama		legacy	legacy_linked/act_polygama_legacy/gff.gff3	legacy_linked/act_polygama_legacy/genome.fasta
act_reticulata_legacy	Actinidia reticulata		legacy	legacy_linked/act_reticulata_legacy/gff.gff	legacy_linked/act_reticulata_legacy/genome.fasta
act_zhejiangensis_a_legacy	Actinidia x zhejiangensis	A	legacy	legacy_linked/act_zhejiangensis_a_legacy/gff.gff	legacy_linked/act_zhejiangensis_a_legacy/genome.fasta
act_zhejiangensis_b_legacy	Actinidia x zhejiangensis	B	legacy	legacy_linked/act_zhejiangensis_b_legacy/gff.gff	legacy_linked/act_zhejiangensis_b_legacy/genome.fasta
act_rufa_actinidiabase_v1	Actinidia rufa	unphased	new	standardized/chromosome_named_by_hy4a_similarity_20260719/act_rufa_actinidiabase_v1/act_rufa_actinidiabase_v1.primary.gff3	standardized/chromosome_named_by_hy4a_similarity_20260719/act_rufa_actinidiabase_v1/act_rufa_actinidiabase_v1.genome.fa.gz
act_eriantha_hap1_2026	Actinidia eriantha	HAP1	new	standardized/chromosome_named_by_hy4a_similarity_20260719/act_eriantha_hap1_2026/act_eriantha_hap1_2026.primary.gff3	standardized/chromosome_named_by_hy4a_similarity_20260719/act_eriantha_hap1_2026/act_eriantha_hap1_2026.genome.fa.gz
act_eriantha_hap2_2026	Actinidia eriantha	HAP2	new	standardized/chromosome_named_by_hy4a_similarity_20260719/act_eriantha_hap2_2026/act_eriantha_hap2_2026.primary.gff3	standardized/chromosome_named_by_hy4a_similarity_20260719/act_eriantha_hap2_2026/act_eriantha_hap2_2026.genome.fa.gz
act_deliciosa_adm_2026_A	Actinidia deliciosa	A	new	standardized/chromosome_named_by_hy4a_similarity_20260719/act_deliciosa_adm_2026_A/act_deliciosa_adm_2026_A.primary.gff3	standardized/chromosome_named_by_hy4a_similarity_20260719/act_deliciosa_adm_2026_A/act_deliciosa_adm_2026_A.genome.fa.gz
act_deliciosa_adm_2026_B	Actinidia deliciosa	B	new	standardized/chromosome_named_by_hy4a_similarity_20260719/act_deliciosa_adm_2026_B/act_deliciosa_adm_2026_B.primary.gff3	standardized/chromosome_named_by_hy4a_similarity_20260719/act_deliciosa_adm_2026_B/act_deliciosa_adm_2026_B.genome.fa.gz
act_deliciosa_adm_2026_C	Actinidia deliciosa	C	new	standardized/chromosome_named_by_hy4a_similarity_20260719/act_deliciosa_adm_2026_C/act_deliciosa_adm_2026_C.primary.gff3	standardized/chromosome_named_by_hy4a_similarity_20260719/act_deliciosa_adm_2026_C/act_deliciosa_adm_2026_C.genome.fa.gz
act_deliciosa_adm_2026_D	Actinidia deliciosa	D	new	standardized/chromosome_named_by_hy4a_similarity_20260719/act_deliciosa_adm_2026_D/act_deliciosa_adm_2026_D.primary.gff3	standardized/chromosome_named_by_hy4a_similarity_20260719/act_deliciosa_adm_2026_D/act_deliciosa_adm_2026_D.genome.fa.gz
act_deliciosa_adm_2026_E	Actinidia deliciosa	E	new	standardized/chromosome_named_by_hy4a_similarity_20260719/act_deliciosa_adm_2026_E/act_deliciosa_adm_2026_E.primary.gff3	standardized/chromosome_named_by_hy4a_similarity_20260719/act_deliciosa_adm_2026_E/act_deliciosa_adm_2026_E.genome.fa.gz
act_deliciosa_adm_2026_F	Actinidia deliciosa	F	new	standardized/chromosome_named_by_hy4a_similarity_20260719/act_deliciosa_adm_2026_F/act_deliciosa_adm_2026_F.primary.gff3	standardized/chromosome_named_by_hy4a_similarity_20260719/act_deliciosa_adm_2026_F/act_deliciosa_adm_2026_F.genome.fa.gz
