term_id	term_name
map00140	Steroid hormone biosynthesis
map00190	Oxidative phosphorylation
map00550	Peptidoglycan biosynthesis
map00830	Retinol metabolism
map00940	Phenylpropanoid biosynthesis
map00943	Isoflavonoid biosynthesis
map00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis
map01110	Biosynthesis of secondary metabolites
map01502	Vancomycin resistance
map03010	Ribosome
map03040	Spliceosome
map04260	Cardiac muscle contraction
map04623	Cytosolic DNA-sensing pathway
map04626	Plant–pathogen interaction
map04913	Ovarian steroidogenesis
map04917	Prolactin signaling pathway
map04927	Cortisol synthesis and secretion
map04932	Non-alcoholic fatty liver disease
map05012	Parkinson disease
map05016	Huntington disease
map05110	Vibrio cholerae infection
map05133	Pertussis
map05140	Leishmaniasis
