assembly_unit_id	legacy_sample	biological_species	haplotype_or_subgenome	assembly_scope	synorth_audit	synorth_pairs	deleted_genes	genome	gff
act_arguta_a_legacy	Actinidia_arguta_A	Actinidia arguta	A	legacy_analyzed_chromosome_scope	qc/legacy_synorth_reuse_20260717/summaries/Actinidia_arguta_A.synorth_summary.json	legacy_linked/legacy_gene_loss_evidence/synorth_pairs/Actinidia_arguta_A_vs_clematoclethra_synorths.txt	legacy_linked/legacy_gene_loss_evidence/positive_calls/Actinidia_arguta_A_deleted_genes.txt	legacy_linked/act_arguta_a_legacy/genome.fasta	legacy_linked/act_arguta_a_legacy/gff.gff
act_arguta_b_legacy	Actinidia_arguta_B	Actinidia arguta	B	legacy_analyzed_chromosome_scope	qc/legacy_synorth_reuse_20260717/summaries/Actinidia_arguta_B.synorth_summary.json	legacy_linked/legacy_gene_loss_evidence/synorth_pairs/Actinidia_arguta_B_vs_clematoclethra_synorths.txt	legacy_linked/legacy_gene_loss_evidence/positive_calls/Actinidia_arguta_B_deleted_genes.txt	legacy_linked/act_arguta_b_legacy/genome.fasta	legacy_linked/act_arguta_b_legacy/gff.gff
act_arguta_c_legacy	Actinidia_arguta_C	Actinidia arguta	C	legacy_analyzed_chromosome_scope	qc/legacy_synorth_reuse_20260717/summaries/Actinidia_arguta_C.synorth_summary.json	legacy_linked/legacy_gene_loss_evidence/synorth_pairs/Actinidia_arguta_C_vs_clematoclethra_synorths.txt	legacy_linked/legacy_gene_loss_evidence/positive_calls/Actinidia_arguta_C_deleted_genes.txt	legacy_linked/act_arguta_c_legacy/genome.fasta	legacy_linked/act_arguta_c_legacy/gff.gff
act_arguta_d_legacy	Actinidia_arguta_D	Actinidia arguta	D	legacy_analyzed_chromosome_scope	qc/legacy_synorth_reuse_20260717/summaries/Actinidia_arguta_D.synorth_summary.json	legacy_linked/legacy_gene_loss_evidence/synorth_pairs/Actinidia_arguta_D_vs_clematoclethra_synorths.txt	legacy_linked/legacy_gene_loss_evidence/positive_calls/Actinidia_arguta_D_deleted_genes.txt	legacy_linked/act_arguta_d_legacy/genome.fasta	legacy_linked/act_arguta_d_legacy/gff.gff
act_chinensis_hongyang_v4_hy4a_legacy	Actinidia_chinensis_A	Actinidia chinensis	HY4A	legacy_analyzed_chromosome_scope	qc/legacy_synorth_reuse_20260717/summaries/Actinidia_chinensis_A.synorth_summary.json	legacy_linked/legacy_gene_loss_evidence/synorth_pairs/Actinidia_chinensis_A_vs_clematoclethra_synorths.txt	legacy_linked/legacy_gene_loss_evidence/positive_calls/Actinidia_chinensis_A_deleted_genes.txt	legacy_linked/act_chinensis_a_legacy/genome.fasta	legacy_linked/act_chinensis_a_legacy/gff.gff3
act_chinensis_hongyang_v4_hy4p_legacy	Actinidia_chinensis_B	Actinidia chinensis	HY4P	legacy_analyzed_chromosome_scope	qc/legacy_synorth_reuse_20260717/summaries/Actinidia_chinensis_B.synorth_summary.json	legacy_linked/legacy_gene_loss_evidence/synorth_pairs/Actinidia_chinensis_B_vs_clematoclethra_synorths.txt	legacy_linked/legacy_gene_loss_evidence/positive_calls/Actinidia_chinensis_B_deleted_genes.txt	legacy_linked/act_chinensis_b_legacy/genome.fasta	legacy_linked/act_chinensis_b_legacy/gff.gff3
act_hemsleyana_legacy	Actinidia_hemsleyana	Actinidia hemsleyana	unphased	legacy_analyzed_chromosome_scope	qc/legacy_synorth_reuse_20260717/summaries/Actinidia_hemsleyana.synorth_summary.json	legacy_linked/legacy_gene_loss_evidence/synorth_pairs/Actinidia_hemsleyana_vs_clematoclethra_synorths.txt	legacy_linked/legacy_gene_loss_evidence/positive_calls/Actinidia_hemsleyana_deleted_genes.txt	legacy_linked/act_hemsleyana_legacy/genome.fasta	legacy_linked/act_hemsleyana_legacy/gff.gff
act_latifolia_legacy	Actinidia_latifolia	Actinidia latifolia	unphased	legacy_analyzed_chromosome_scope	qc/legacy_synorth_reuse_20260717/summaries/Actinidia_latifolia.synorth_summary.json	legacy_linked/legacy_gene_loss_evidence/synorth_pairs/Actinidia_latifolia_vs_clematoclethra_synorths.txt	legacy_linked/legacy_gene_loss_evidence/positive_calls/Actinidia_latifolia_deleted_genes.txt	legacy_linked/act_latifolia_legacy/genome.fasta	legacy_linked/act_latifolia_legacy/gff.gff3
act_longicarpa_legacy	Actinidia_longicarpa	Actinidia longicarpa	unphased	legacy_analyzed_chromosome_scope	qc/legacy_synorth_reuse_20260717/summaries/Actinidia_longicarpa.synorth_summary.json	legacy_linked/legacy_gene_loss_evidence/synorth_pairs/Actinidia_longicarpa_vs_clematoclethra_synorths.txt	legacy_linked/legacy_gene_loss_evidence/positive_calls/Actinidia_longicarpa_deleted_genes.txt	legacy_linked/act_longicarpa_legacy/genome.fasta	legacy_linked/act_longicarpa_legacy/gff.gff3
act_macrosperma_legacy	Actinidia_macrosperma	Actinidia macrosperma	unresolved_polyploid_unit	legacy_analyzed_chromosome_scope	qc/legacy_synorth_reuse_20260717/summaries/Actinidia_macrosperma.synorth_summary.json	legacy_linked/legacy_gene_loss_evidence/synorth_pairs/Actinidia_macrosperma_vs_clematoclethra_synorths.txt	legacy_linked/legacy_gene_loss_evidence/positive_calls/Actinidia_macrosperma_deleted_genes.txt	legacy_linked/act_macrosperma_legacy/genome.fasta	legacy_linked/act_macrosperma_legacy/gff.gff3
act_polygama_legacy	Actinidia_polygama	Actinidia polygama	unphased	legacy_analyzed_chromosome_scope	qc/legacy_synorth_reuse_20260717/summaries/Actinidia_polygama.synorth_summary.json	legacy_linked/legacy_gene_loss_evidence/synorth_pairs/Actinidia_polygama_vs_clematoclethra_synorths.txt	legacy_linked/legacy_gene_loss_evidence/positive_calls/Actinidia_polygama_deleted_genes.txt	legacy_linked/act_polygama_legacy/genome.fasta	legacy_linked/act_polygama_legacy/gff.gff3
act_reticulata_legacy	Actinidia_reticulata	Actinidia reticulata	unphased	legacy_analyzed_chromosome_scope	qc/legacy_synorth_reuse_20260717/summaries/Actinidia_reticulata.synorth_summary.json	legacy_linked/legacy_gene_loss_evidence/synorth_pairs/Actinidia_reticulata_vs_clematoclethra_synorths.txt	legacy_linked/legacy_gene_loss_evidence/positive_calls/Actinidia_reticulata_deleted_genes.txt	legacy_linked/act_reticulata_legacy/genome.fasta	legacy_linked/act_reticulata_legacy/gff.gff
act_zhejiangensis_a_legacy	Actinidia_zhejiangensis_A	Actinidia x zhejiangensis parental lineage A	A	legacy_analyzed_chromosome_scope	qc/legacy_synorth_reuse_20260717/summaries/Actinidia_zhejiangensis_A.synorth_summary.json	legacy_linked/legacy_gene_loss_evidence/synorth_pairs/Actinidia_zhejiangensis_A_vs_clematoclethra_synorths.txt	legacy_linked/legacy_gene_loss_evidence/positive_calls/Actinidia_zhejiangensis_A_deleted_genes.txt	legacy_linked/act_zhejiangensis_a_legacy/genome.fasta	legacy_linked/act_zhejiangensis_a_legacy/gff.gff
act_zhejiangensis_b_legacy	Actinidia_zhejiangensis_B	Actinidia x zhejiangensis parental lineage B	B	legacy_analyzed_chromosome_scope	qc/legacy_synorth_reuse_20260717/summaries/Actinidia_zhejiangensis_B.synorth_summary.json	legacy_linked/legacy_gene_loss_evidence/synorth_pairs/Actinidia_zhejiangensis_B_vs_clematoclethra_synorths.txt	legacy_linked/legacy_gene_loss_evidence/positive_calls/Actinidia_zhejiangensis_B_deleted_genes.txt	legacy_linked/act_zhejiangensis_b_legacy/genome.fasta	legacy_linked/act_zhejiangensis_b_legacy/gff.gff
