legacy_sample	assembly_unit_id
Actinidia_arguta_A	act_arguta_a_legacy
Actinidia_arguta_B	act_arguta_b_legacy
Actinidia_arguta_C	act_arguta_c_legacy
Actinidia_arguta_D	act_arguta_d_legacy
Actinidia_chinensis_A	act_chinensis_a_legacy
Actinidia_chinensis_B	act_chinensis_b_legacy
Actinidia_deliciosa_A	act_deliciosa_a_legacy
Actinidia_deliciosa_B	act_deliciosa_b_legacy
Actinidia_deliciosa_C	act_deliciosa_c_legacy
Actinidia_deliciosa_D	act_deliciosa_d_legacy
Actinidia_deliciosa_E	act_deliciosa_e_legacy
Actinidia_deliciosa_F	act_deliciosa_f_legacy
Actinidia_eriantha	act_eriantha_mdhapa_legacy
Actinidia_hemsleyana	act_hemsleyana_legacy
Actinidia_latifolia	act_latifolia_legacy
Actinidia_longicarpa	act_longicarpa_legacy
Actinidia_macrosperma	act_macrosperma_legacy
Actinidia_polygama	act_polygama_legacy
Actinidia_reticulata	act_reticulata_legacy
Actinidia_rufa	act_rufa_fuchu_chr_subset_legacy
Actinidia_zhejiangensis_A	act_zhejiangensis_a_legacy
Actinidia_zhejiangensis_B	act_zhejiangensis_b_legacy
Actinidia_eriantha_MDHAPA_matched	act_eriantha_mdhapa_matched
Actinidia_eriantha_MHT_RefSeq	act_eriantha_mht_refseq
Actinidia_rufa_ARU_r1.0	act_rufa_aru_r1
Actinidia_rufa_Fuchu_full	act_rufa_fuchu
