terminal_id	biological_species	grouping	source_fasta_stem	canonical_tree_label	is_root_outgroup	include_species_tree	identity_status
act_arguta_C	Actinidia arguta	act_arguta	act_arguta_C	Actinidia_arguta_C	false	true	confirmed
act_chinensis_A	Actinidia chinensis	act_chinensis	act_chinensis_A	Actinidia_chinensis_A	false	true	confirmed
act_deliciosa_ADM_D	Actinidia deliciosa	act_deliciosa	act_deliciosa_ADM_D	Actinidia_deliciosa_ADM_D	false	true	confirmed
act_eriantha_HAP1	Actinidia eriantha	act_eriantha	act_eriantha_HAP1	Actinidia_eriantha_HAP1	false	true	confirmed
act_hemsleyana	Actinidia hemsleyana	act_hemsleyana	act_hemsleyana	Actinidia_hemsleyana	false	true	confirmed
act_latifolia	Actinidia latifolia	act_latifolia	act_latifolia	Actinidia_latifolia	false	true	confirmed
act_longicarpa	Actinidia longicarpa	act_longicarpa	act_longicarpa	Actinidia_longicarpa	false	true	confirmed
act_macrosperma	Actinidia macrosperma	act_macrosperma	act_macrosperma	Actinidia_macrosperma	false	true	confirmed
act_polygama	Actinidia polygama	act_polygama	act_polygama	Actinidia_polygama	false	true	confirmed
act_reticulata	Actinidia reticulata	act_reticulata	act_reticulata	Actinidia_reticulata	false	true	confirmed
act_rufa_ActinidiaBase_v1	Actinidia rufa	act_rufa	act_rufa_ActinidiaBase_v1	Actinidia_rufa_ActinidiaBase_v1	false	true	confirmed
act_zhejiangensis_A	Actinidia x zhejiangensis parental lineage A	act_zhejiangensis_A	act_zhejiangensis_A	Actinidia_x_zhejiangensis_A	false	true	confirmed
act_zhejiangensis_B	Actinidia x zhejiangensis parental lineage B	act_zhejiangensis_B	act_zhejiangensis_B	Actinidia_x_zhejiangensis_B	false	true	confirmed
clem_scandens	Clematoclethra scandens	clem_scandens	clem_scandens	Clematoclethra_scandens	false	true	confirmed
coffea_arabica_E	Coffea arabica	coffea_arabica	coffea_arabica_E	Coffea_arabica_E	false	true	confirmed
rhodo_simsii	Rhododendron simsii	rhodo_simsii	rhodo_simsii	Rhododendron_simsii	false	true	confirmed
vitis_vinifera	Vitis vinifera	vitis_vinifera	vitis_vinifera	Vitis_vinifera	true	true	confirmed
