asset_id	assembly_unit_id	asset_type	url	relative_path	expected_bytes	md5	sha256	download	source_note
leea_coccinea_1464_genome	leea_coccinea_1464	genome	https://zenodo.org/api/records/13362874/files/Lco1464_v1.0.fasta/content	downloads/phylogeny_outgroups/Leea_coccinea_1464/Lco1464_v1.0.fasta	1104911269	2ea922e9006b2053c291c534d1405cef		true	Official Zenodo record 13362874, CC BY 4.0. Use one declared representative haplotype only; do not double-count phased homologues as species.
leea_coccinea_1464_gff	leea_coccinea_1464	gff	https://zenodo.org/api/records/13362874/files/Lco1464_v1.0_gene_annotation_ver1.0.gff3/content	downloads/phylogeny_outgroups/Leea_coccinea_1464/Lco1464_v1.0_gene_annotation_ver1.0.gff3	102108962	ed8f7699487a95e750490bfa3cf1514a		true	Exact annotation paired with the Lco1464 v1.0 assembly; derive and audit primary proteins from this genome-GFF pair.
catharanthus_roseus_asm2450571_genome	catharanthus_roseus_asm2450571	genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/505/715/GCA_024505715.1_ASM2450571v1/GCA_024505715.1_ASM2450571v1_genomic.fna.gz	downloads/phylogeny_outgroups/Catharanthus_roseus_ASM2450571v1/GCA_024505715.1_ASM2450571v1_genomic.fna.gz	173649605	35610e89948984882e300ffef10e6e69		true	Official NCBI assembly GCA_024505715.1, chromosome level.
catharanthus_roseus_asm2450571_gff	catharanthus_roseus_asm2450571	gff	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/505/715/GCA_024505715.1_ASM2450571v1/GCA_024505715.1_ASM2450571v1_genomic.gff.gz	downloads/phylogeny_outgroups/Catharanthus_roseus_ASM2450571v1/GCA_024505715.1_ASM2450571v1_genomic.gff.gz	5905690	c3ad36db2323f090f6d102d6bb0d7197		true	Official GFF from the same NCBI assembly directory.
catharanthus_roseus_asm2450571_protein	catharanthus_roseus_asm2450571	protein	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/505/715/GCA_024505715.1_ASM2450571v1/GCA_024505715.1_ASM2450571v1_protein.faa.gz	downloads/phylogeny_outgroups/Catharanthus_roseus_ASM2450571v1/GCA_024505715.1_ASM2450571v1_protein.faa.gz	7530419	a0c7ad2e7cb680020713f983c83575ec		true	Official protein FASTA paired with GCA_024505715.1; retain for independent extraction compatibility checks.
catharanthus_roseus_asm2450571_cds	catharanthus_roseus_asm2450571	cds	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/505/715/GCA_024505715.1_ASM2450571v1/GCA_024505715.1_ASM2450571v1_cds_from_genomic.fna.gz	downloads/phylogeny_outgroups/Catharanthus_roseus_ASM2450571v1/GCA_024505715.1_ASM2450571v1_cds_from_genomic.fna.gz	13324934	ce6b0caa7ee7b7c622b0ce939b2c6133		true	Official CDS FASTA paired with GCA_024505715.1; retain for independent extraction compatibility checks.
catharanthus_roseus_asm2450571_assembly_report	catharanthus_roseus_asm2450571	assembly_report	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/505/715/GCA_024505715.1_ASM2450571v1/GCA_024505715.1_ASM2450571v1_assembly_report.txt	downloads/phylogeny_outgroups/Catharanthus_roseus_ASM2450571v1/GCA_024505715.1_ASM2450571v1_assembly_report.txt	29495	22743d1cc17d3f71b02137a7c952e6d6	454e50afe862a11c15007fdc357ad6c9e0849397b2ca28f642708e113fc8c25d	true	Official NCBI assembly report used to distinguish chromosomes from unlocalized and unplaced scaffolds without guessing from FASTA names.
catharanthus_roseus_asm2450571_assembly_stats	catharanthus_roseus_asm2450571	assembly_stats	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/505/715/GCA_024505715.1_ASM2450571v1/GCA_024505715.1_ASM2450571v1_assembly_stats.txt	downloads/phylogeny_outgroups/Catharanthus_roseus_ASM2450571v1/GCA_024505715.1_ASM2450571v1_assembly_stats.txt	18278	95283aaa8a4585f22650656d7eb6e416	4779095f40d247cc0aba315affb54450d717ea6b462e7e0be4db5032b4a03cb8	true	Official NCBI assembly statistics retained as an independent whole-assembly metric source; project-computed metrics remain authoritative for cross-taxon comparison.
saurauia_tristyla_angiosperms353	saurauia_tristyla_tree_only	published_tree_archive	https://zenodo.org/api/records/13835677/files/Angiosperms353.zip/content	downloads/phylogeny_tree_only/Saurauia_tristyla/Angiosperms353.zip	37809948	0f667a1877774bccc639ae204b6b8f33		true	Published tree/age-context archive from Zenodo record 13835677, CC BY 4.0. Exact audit found S. tristyla in the concatenated matrix only as an ITS-supported terminal and in zero Angiosperms353 assembled-sequence files; prohibit direct reuse in a new nuclear alignment, CAFE, or gene-loss matrices.
saurauia_tristyla_readme	saurauia_tristyla_tree_only	metadata	https://zenodo.org/api/records/13835677/files/README.txt/content	downloads/phylogeny_tree_only/Saurauia_tristyla/README.txt	5425	b90f46b071dd2e30859b62c80b6215b0		true	Repository README retained with the tree-only Saurauia asset for provenance and interpretation.
