sample_id	species	ploidy	analysis_role	input_scope	source_fasta	output_basename	expected_fasta_records
clem_scandens_reference	Clematoclethra scandens	n/a	reference_callable	reference_transcript_cds	legacy_linked/clem_scandens_reference_legacy/cds.fasta	clem_scandens_reference.fa	35547
act_arguta_a_legacy	Actinidia arguta	4x	target_repertoire	whole_genome	legacy_linked/act_arguta_a_legacy/genome.fasta	act_arguta_a_legacy.fa	29
act_arguta_b_legacy	Actinidia arguta	4x	target_repertoire	whole_genome	legacy_linked/act_arguta_b_legacy/genome.fasta	act_arguta_b_legacy.fa	29
act_arguta_c_legacy	Actinidia arguta	4x	target_repertoire	whole_genome	legacy_linked/act_arguta_c_legacy/genome.fasta	act_arguta_c_legacy.fa	29
act_arguta_d_legacy	Actinidia arguta	4x	target_repertoire	whole_genome	legacy_linked/act_arguta_d_legacy/genome.fasta	act_arguta_d_legacy.fa	29
act_chinensis_hongyang_v4_hy4a_legacy	Actinidia chinensis	2x	target_repertoire	whole_genome	legacy_linked/act_chinensis_a_legacy/genome.fasta	act_chinensis_hongyang_v4_hy4a_legacy.fa	29
act_chinensis_hongyang_v4_hy4p_legacy	Actinidia chinensis	2x	target_repertoire	whole_genome	legacy_linked/act_chinensis_b_legacy/genome.fasta	act_chinensis_hongyang_v4_hy4p_legacy.fa	29
act_deliciosa_adm_2026_A	Actinidia deliciosa	6x	target_repertoire	whole_genome	standardized/chromosome_named_by_hy4a_similarity_20260719/act_deliciosa_adm_2026_A/act_deliciosa_adm_2026_A.genome.fa.gz	act_deliciosa_adm_2026_A.fa	29
act_deliciosa_adm_2026_B	Actinidia deliciosa	6x	target_repertoire	whole_genome	standardized/chromosome_named_by_hy4a_similarity_20260719/act_deliciosa_adm_2026_B/act_deliciosa_adm_2026_B.genome.fa.gz	act_deliciosa_adm_2026_B.fa	29
act_deliciosa_adm_2026_C	Actinidia deliciosa	6x	target_repertoire	whole_genome	standardized/chromosome_named_by_hy4a_similarity_20260719/act_deliciosa_adm_2026_C/act_deliciosa_adm_2026_C.genome.fa.gz	act_deliciosa_adm_2026_C.fa	29
act_deliciosa_adm_2026_D	Actinidia deliciosa	6x	target_repertoire	whole_genome	standardized/chromosome_named_by_hy4a_similarity_20260719/act_deliciosa_adm_2026_D/act_deliciosa_adm_2026_D.genome.fa.gz	act_deliciosa_adm_2026_D.fa	29
act_deliciosa_adm_2026_E	Actinidia deliciosa	6x	target_repertoire	whole_genome	standardized/chromosome_named_by_hy4a_similarity_20260719/act_deliciosa_adm_2026_E/act_deliciosa_adm_2026_E.genome.fa.gz	act_deliciosa_adm_2026_E.fa	29
act_deliciosa_adm_2026_F	Actinidia deliciosa	6x	target_repertoire	whole_genome	standardized/chromosome_named_by_hy4a_similarity_20260719/act_deliciosa_adm_2026_F/act_deliciosa_adm_2026_F.genome.fa.gz	act_deliciosa_adm_2026_F.fa	29
act_eriantha_hap1_2026	Actinidia eriantha	2x	target_repertoire	whole_genome	standardized/chromosome_named_by_hy4a_similarity_20260719/act_eriantha_hap1_2026/act_eriantha_hap1_2026.genome.fa.gz	act_eriantha_hap1_2026.fa	29
act_eriantha_hap2_2026	Actinidia eriantha	2x	target_repertoire	whole_genome	standardized/chromosome_named_by_hy4a_similarity_20260719/act_eriantha_hap2_2026/act_eriantha_hap2_2026.genome.fa.gz	act_eriantha_hap2_2026.fa	29
act_hemsleyana_legacy	Actinidia hemsleyana	2x	target_repertoire	whole_genome	legacy_linked/act_hemsleyana_legacy/genome.fasta	act_hemsleyana_legacy.fa	29
act_latifolia_legacy	Actinidia latifolia	2x	target_repertoire	whole_genome	legacy_linked/act_latifolia_legacy/genome.fasta	act_latifolia_legacy.fa	29
act_longicarpa_legacy	Actinidia longicarpa	2x	target_repertoire	whole_genome	legacy_linked/act_longicarpa_legacy/genome.fasta	act_longicarpa_legacy.fa	29
act_macrosperma_legacy	Actinidia macrosperma	4x	target_repertoire	whole_genome	legacy_linked/act_macrosperma_legacy/genome.fasta	act_macrosperma_legacy.fa	29
act_polygama_legacy	Actinidia polygama	2x	target_repertoire	whole_genome	legacy_linked/act_polygama_legacy/genome.fasta	act_polygama_legacy.fa	29
act_reticulata_legacy	Actinidia reticulata	2x	target_repertoire	whole_genome	legacy_linked/act_reticulata_legacy/genome.fasta	act_reticulata_legacy.fa	29
act_rufa_actinidiabase_v1	Actinidia rufa	2x	target_repertoire	whole_genome	standardized/chromosome_named_by_hy4a_similarity_20260719/act_rufa_actinidiabase_v1/act_rufa_actinidiabase_v1.genome.fa.gz	act_rufa_actinidiabase_v1.fa	29
act_zhejiangensis_a_legacy	Actinidia x zhejiangensis parental lineage A	2x	target_repertoire	whole_genome	legacy_linked/act_zhejiangensis_a_legacy/genome.fasta	act_zhejiangensis_a_legacy.fa	29
act_zhejiangensis_b_legacy	Actinidia x zhejiangensis parental lineage B	2x	target_repertoire	whole_genome	legacy_linked/act_zhejiangensis_b_legacy/genome.fasta	act_zhejiangensis_b_legacy.fa	29
