assembly_unit_id	biological_species	haplotype_or_subgenome	assembly_scope	include	analysis_cohort
act_arguta_a_legacy	Actinidia arguta	A	primary_29_chromosome_analysis_unit	true	primary_23_units_nonshared_v1
act_arguta_b_legacy	Actinidia arguta	B	primary_29_chromosome_analysis_unit	true	primary_23_units_nonshared_v1
act_arguta_c_legacy	Actinidia arguta	C	primary_29_chromosome_analysis_unit	true	primary_23_units_nonshared_v1
act_arguta_d_legacy	Actinidia arguta	D	primary_29_chromosome_analysis_unit	true	primary_23_units_nonshared_v1
act_chinensis_hongyang_v4_hy4a_legacy	Actinidia chinensis	HY4A	primary_29_chromosome_analysis_unit	true	primary_23_units_nonshared_v1
act_chinensis_hongyang_v4_hy4p_legacy	Actinidia chinensis	HY4P	primary_29_chromosome_analysis_unit	true	primary_23_units_nonshared_v1
act_deliciosa_adm_2026_A	Actinidia deliciosa	A	primary_29_chromosome_analysis_unit	true	primary_23_units_nonshared_v1
act_deliciosa_adm_2026_B	Actinidia deliciosa	B	primary_29_chromosome_analysis_unit	true	primary_23_units_nonshared_v1
act_deliciosa_adm_2026_C	Actinidia deliciosa	C	primary_29_chromosome_analysis_unit	true	primary_23_units_nonshared_v1
act_deliciosa_adm_2026_D	Actinidia deliciosa	D	primary_29_chromosome_analysis_unit	true	primary_23_units_nonshared_v1
act_deliciosa_adm_2026_E	Actinidia deliciosa	E	primary_29_chromosome_analysis_unit	true	primary_23_units_nonshared_v1
act_deliciosa_adm_2026_F	Actinidia deliciosa	F	primary_29_chromosome_analysis_unit	true	primary_23_units_nonshared_v1
act_eriantha_hap1_2026	Actinidia eriantha	HAP1	primary_29_chromosome_analysis_unit	true	primary_23_units_nonshared_v1
act_eriantha_hap2_2026	Actinidia eriantha	HAP2	primary_29_chromosome_analysis_unit	true	primary_23_units_nonshared_v1
act_hemsleyana_legacy	Actinidia hemsleyana		primary_29_chromosome_analysis_unit	true	primary_23_units_nonshared_v1
act_latifolia_legacy	Actinidia latifolia		primary_29_chromosome_analysis_unit	true	primary_23_units_nonshared_v1
act_longicarpa_legacy	Actinidia longicarpa		primary_29_chromosome_analysis_unit	true	primary_23_units_nonshared_v1
act_macrosperma_legacy	Actinidia macrosperma		primary_29_chromosome_analysis_unit	true	primary_23_units_nonshared_v1
act_polygama_legacy	Actinidia polygama		primary_29_chromosome_analysis_unit	true	primary_23_units_nonshared_v1
act_reticulata_legacy	Actinidia reticulata		primary_29_chromosome_analysis_unit	true	primary_23_units_nonshared_v1
act_rufa_actinidiabase_v1	Actinidia rufa	ActinidiaBase v1	primary_29_chromosome_analysis_unit	true	primary_23_units_nonshared_v1
act_zhejiangensis_a_legacy	Actinidia x zhejiangensis parental lineage A		primary_29_chromosome_analysis_unit	true	primary_23_units_nonshared_v1
act_zhejiangensis_b_legacy	Actinidia x zhejiangensis parental lineage B		primary_29_chromosome_analysis_unit	true	primary_23_units_nonshared_v1
