assembly_unit_id	biological_species	aggregation_rule	include
act_arguta_a_legacy	Actinidia arguta	all_units_positive	true
act_arguta_b_legacy	Actinidia arguta	all_units_positive	true
act_arguta_c_legacy	Actinidia arguta	all_units_positive	true
act_arguta_d_legacy	Actinidia arguta	all_units_positive	true
act_chinensis_hongyang_v4_hy4a_legacy	Actinidia chinensis	all_units_positive	true
act_chinensis_hongyang_v4_hy4p_legacy	Actinidia chinensis	all_units_positive	true
act_deliciosa_adm_2026_A	Actinidia deliciosa	all_units_positive	true
act_deliciosa_adm_2026_B	Actinidia deliciosa	all_units_positive	true
act_deliciosa_adm_2026_C	Actinidia deliciosa	all_units_positive	true
act_deliciosa_adm_2026_D	Actinidia deliciosa	all_units_positive	true
act_deliciosa_adm_2026_E	Actinidia deliciosa	all_units_positive	true
act_deliciosa_adm_2026_F	Actinidia deliciosa	all_units_positive	true
act_eriantha_hap1_2026	Actinidia eriantha	all_units_positive	true
act_eriantha_hap2_2026	Actinidia eriantha	all_units_positive	true
act_hemsleyana_legacy	Actinidia hemsleyana	all_units_positive	true
act_latifolia_legacy	Actinidia latifolia	all_units_positive	true
act_longicarpa_legacy	Actinidia longicarpa	all_units_positive	true
act_macrosperma_legacy	Actinidia macrosperma	all_units_positive	true
act_polygama_legacy	Actinidia polygama	all_units_positive	true
act_reticulata_legacy	Actinidia reticulata	all_units_positive	true
act_rufa_actinidiabase_v1	Actinidia rufa	all_units_positive	true
act_zhejiangensis_a_legacy	Actinidia x zhejiangensis parental lineage A	all_units_positive	true
act_zhejiangensis_b_legacy	Actinidia x zhejiangensis parental lineage B	all_units_positive	true
