asset_id	assembly_unit_id	asset_type	bytes	sha256	publisher_md5	checksum_authority
rufa_aru_genome	act_rufa_aru_r1	genome	191303429	7fe2227589902c4dabeb3537c25724c9f759bcdde7691d3d424af130e57ba3ee	9a4a2f652822a2d52f20d739ceed9d3c	publisher_md5_plus_local_observed_sha256
rufa_aru_gff	act_rufa_aru_r1	gff	7072736	a1dc19871b24fb64b44c4ff2a8ecf95daf96c24f5505cc1cc86442d6752b26fe	none	local_observed_sha256_no_publisher_checksum
rufa_aru_protein	act_rufa_aru_r1	protein	13719497	050d96e551c8b0b2b800132364851ab1fa29d5046236237ff13d1884f9291cef	none	local_observed_sha256_no_publisher_checksum
rufa_aru_cds	act_rufa_aru_r1	cds	21826341	4d24c623eab6cef480330126cc01f4cff53afeeb5937ed73c1fb88f9d7d7d21f	none	local_observed_sha256_no_publisher_checksum
rufa_fuchu_genome	act_rufa_fuchu	genome	203849960	679da33b1ac7a789734f13e95cc6cce83fbba27162e0facfc4999949cb01b38c	d0841da5e4bf93e11df41ee868b133c5	publisher_md5_plus_local_observed_sha256
rufa_fuchu_gff	act_rufa_fuchu	gff	5140356	b7656c5fc44c345e71698a08d126d636be349f31dcbdb45454e86ab59c5c6ebd	21a07a3379963af4783edb6dd48ab0ed	publisher_md5_plus_local_observed_sha256
rufa_fuchu_protein	act_rufa_fuchu	protein	11741278	944a132000675b85787b1abf1278972067ce3c7e0dc4891677e6733157c8a73e	8e26c2faa3ca4fcefdba5fd86830955b	publisher_md5_plus_local_observed_sha256
rufa_fuchu_cds	act_rufa_fuchu	cds	21043647	eb1184dd0eeb617a5b177f9778973f1af4e5e340e10b573f4188a3a3a39fb3cf	fbf5649a09b4a30ca5c9ff6824ab80c3	publisher_md5_plus_local_observed_sha256
rufa_actinidiabase_genome	act_rufa_actinidiabase_v1	genome	173092897	d5de1662997faf804ebbfba1e2ef58dd7e91e8cd74f2c6ee594b8076a58bd108	none	local_observed_sha256_no_publisher_checksum
rufa_actinidiabase_gff	act_rufa_actinidiabase_v1	gff	4665536	cba7180625f6cabe5490edf48c41db170db202fcae9cd98f25444644b8983206	none	local_observed_sha256_no_publisher_checksum
rufa_actinidiabase_protein	act_rufa_actinidiabase_v1	protein	10129121	bb2fc61dd4367cd5c08051889c24017d713736737410f22b07c1bca8075b46fd	none	local_observed_sha256_no_publisher_checksum
rufa_actinidiabase_cds	act_rufa_actinidiabase_v1	cds	15747221	dc3c98fe26a4e97c935fd06972d7904105195475507e8e8551ec01ed0e1ef99f	none	local_observed_sha256_no_publisher_checksum
