biological_species	ploidy	ploidy_source	source_reference
Actinidia arguta	4	frozen_analysis_unit_metadata	legacy_analysis_units.tsv:act_arguta_a-d_legacy
Actinidia chinensis	2	frozen_analysis_unit_metadata	legacy_analysis_units.tsv:act_chinensis_hongyang_v4_hy4a-hy4p_legacy
Actinidia deliciosa	6	frozen_analysis_unit_metadata	deliciosa_polyploid_partitions.tsv:act_deliciosa_adm_2026_A-F
Actinidia eriantha	2	frozen_analysis_unit_metadata	assemblies.tsv:act_eriantha_hap1-hap2_2026
Actinidia hemsleyana	2	frozen_analysis_unit_metadata	legacy_analysis_units.tsv:act_hemsleyana_legacy
Actinidia latifolia	2	frozen_analysis_unit_metadata	legacy_analysis_units.tsv:act_latifolia_legacy
Actinidia longicarpa	2	frozen_analysis_unit_metadata	legacy_analysis_units.tsv:act_longicarpa_legacy
Actinidia macrosperma	4	frozen_analysis_unit_metadata	legacy_analysis_units.tsv:act_macrosperma_legacy
Actinidia polygama	2	frozen_analysis_unit_metadata	legacy_analysis_units.tsv:act_polygama_legacy
Actinidia reticulata	2	frozen_analysis_unit_metadata	legacy_analysis_units.tsv:act_reticulata_legacy
Actinidia rufa	2	frozen_analysis_unit_metadata	assemblies.tsv:act_rufa_actinidiabase_v1
Actinidia x zhejiangensis parental lineage A	2	frozen_analysis_unit_metadata	legacy_analysis_units.tsv:act_zhejiangensis_a_legacy
Actinidia x zhejiangensis parental lineage B	2	frozen_analysis_unit_metadata	legacy_analysis_units.tsv:act_zhejiangensis_b_legacy
