taxon_id	asset_type	relative_data_path	bytes	record_count	sha256	link_status	provenance_status	intended_use	notes
coffea_arabica	cds	raw/phylogeny_outgroups/legacy_linked_pending_provenance/Coffea_arabica/cds.fna	50414108	33618	a1403c9ad9a2c0615d0b9000cef7316c99e29b5a6d88193524c5264099bbfc50	resolved	assembly_accession_pending	legacy_sensitivity_tree	Caturra red isolate CCC135-36; Cara_1.0 clues present.
coffea_arabica	genome	raw/phylogeny_outgroups/legacy_linked_pending_provenance/Coffea_arabica/genome.fasta	1108585226	2833	80341a9c51bf6f582b549b2089df3a9e1fb245fbb7eae7bd837a30aeded269cf	resolved	assembly_accession_pending	legacy_sensitivity_tree	Twenty-two nuclear chromosomes plus unplaced scaffolds and chloroplast.
coffea_arabica	protein	raw/phylogeny_outgroups/legacy_linked_pending_provenance/Coffea_arabica/primary_proteins.faa	17821006	33618	7d59b3ca4d7b8374491aa4b08cc04bc61eeee7d7274f94f5244914562a9a7c6d	resolved	assembly_accession_pending	legacy_sensitivity_tree	One unique normalized base ID per record in the legacy file.
coffea_arabica	gff_subgenome_C	raw/phylogeny_outgroups/legacy_linked_pending_provenance/Coffea_arabica/subgenome_C.gff3	141295506	NA	7c04e61d906037469058206d6ad349ed4126f2ae0948cefa528086b8745bbbce	resolved	assembly_accession_pending	legacy_sensitivity_tree	RefSeq/Gnomon metadata; taxon ID 13443.
coffea_arabica	gff_subgenome_E	raw/phylogeny_outgroups/legacy_linked_pending_provenance/Coffea_arabica/subgenome_E.gff3	144352865	NA	d69c6775880d401b1fc33e1cdbf8640e179b07e221d6b47366a882a2bffc111c	resolved	assembly_accession_pending	legacy_sensitivity_tree	RefSeq/Gnomon metadata; taxon ID 13443.
rhodo_delavayi	cds	raw/phylogeny_outgroups/legacy_linked_pending_provenance/Rhododendron_delavayi/cds.fna	56880214	46210	0ce27f4913d928cd50e154ed066872b69c7540db42858385fb1b4d617f599cac	resolved	accession_pending	legacy_sensitivity_tree	Alternative isoforms are present.
rhodo_delavayi	gff	raw/phylogeny_outgroups/legacy_linked_pending_provenance/Rhododendron_delavayi/genes.gff3	63660893	NA	974e517066f9212223e1ad1ddb89a60f33864d7b6f5d766aeb878fc1beadc97c	resolved	accession_pending	legacy_sensitivity_tree	MAKER annotation with Rhdel identifiers.
rhodo_delavayi	genome	raw/phylogeny_outgroups/legacy_linked_pending_provenance/Rhododendron_delavayi/genome.fasta	675062753	26	5446c1373af3bd8348a100f40eca77be61f128ffeff19626a24cc584f232482f	resolved	accession_pending	legacy_sensitivity_tree	Version-2 filename; 13 chromosomes, 10 contigs, plastid and mitochondrial records.
rhodo_delavayi	protein	raw/phylogeny_outgroups/legacy_linked_pending_provenance/Rhododendron_delavayi/primary_proteins.faa	20666677	46210	c5c5af13f961084a608dc98313e5d8bb370a88669c7c3e01751f64f6e183707c	resolved	accession_pending	legacy_sensitivity_tree	Contains 46,210 records but 40,546 normalized base gene IDs; representative isoforms must be regenerated.
rhodo_simsii	cds	raw/phylogeny_outgroups/legacy_linked_pending_provenance/Rhododendron_simsii/cds.fna	41143031	30419	0242135ca2adb440b9cb5a2b7be0762c583d4cf0a1d592740608469620c93b39	resolved	wgs_project_WJXA_only	legacy_sensitivity_tree	Record count matches the legacy protein file.
rhodo_simsii	gff	raw/phylogeny_outgroups/legacy_linked_pending_provenance/Rhododendron_simsii/genes.gff3	115777438	NA	a04fa77a5c56542bd06f3f8324c7ed1053a6b8dea71f0dc948968f0168bdfdc4	resolved	wgs_project_WJXA_only	legacy_sensitivity_tree	Taxon ID 118357; exact GCA accession still to reconstruct.
rhodo_simsii	genome	raw/phylogeny_outgroups/legacy_linked_pending_provenance/Rhododendron_simsii/genome.fasta	535300041	552	5b3b4c107aea60a430b9da8254e4d536ad2d503d57e69eb6699606bf1bc5b6c1	resolved	wgs_project_WJXA_only	legacy_sensitivity_tree	Thirteen nuclear chromosomes, 537 contigs, mitochondrial and chloroplast records.
rhodo_simsii	protein	raw/phylogeny_outgroups/legacy_linked_pending_provenance/Rhododendron_simsii/primary_proteins.faa	15123984	30419	43a69c27413544740b3ddc71ca9c07eed0e397d3ebbe56a76b6949dae0b0d213	resolved	wgs_project_WJXA_only	legacy_sensitivity_tree	One unique normalized base ID per record in the legacy file.
rhodo_vialii	cds_A_only	raw/phylogeny_outgroups/legacy_linked_pending_provenance/Rhododendron_vialii/cds.fna	53273647	40403	cfa3f51f17f74c54571ced41a6de530173cd4630a0674d438011e7b6b70429a8	resolved	GWHCAXW_bundle	legacy_sensitivity_tree	A-subgenome records only; not a complete A+B CDS set.
rhodo_vialii	genome_AB	raw/phylogeny_outgroups/legacy_linked_pending_provenance/Rhododendron_vialii/genome.fasta	1065265193	26	0b9128b290c0c15c3d59e7c83aa9b7d13b6e04f16c2e509eb02a0627f206feba	resolved	GWHCAXW_bundle	legacy_sensitivity_tree	Thirteen A plus 13 B chromosomes.
rhodo_vialii	protein_A_only	raw/phylogeny_outgroups/legacy_linked_pending_provenance/Rhododendron_vialii/primary_proteins.faa	19198846	40403	cd2433177c9bc45406319c9156db8f0ca02a292d1b9925117b8ceff835da94b0	resolved	GWHCAXW_bundle	legacy_sensitivity_tree	A-subgenome records only and alternative isoforms present; regenerate representatives.
rhodo_vialii	gff_subgenome_A	raw/phylogeny_outgroups/legacy_linked_pending_provenance/Rhododendron_vialii/subgenome_A.gff3	100268916	NA	8f3854f77eac613c50f10cc1351b117223da36a165154ec4025572dcf4faaaa7	resolved	GWHCAXW_bundle	legacy_sensitivity_tree	GWH accessions and EVM annotation.
rhodo_vialii	gff_subgenome_B	raw/phylogeny_outgroups/legacy_linked_pending_provenance/Rhododendron_vialii/subgenome_B.gff3	96614078	NA	9ca3cc4b31d2862657ed4c883f07c511b18d64c32559632d847982cf542f8292	resolved	GWHCAXW_bundle	legacy_sensitivity_tree	GWH accessions and EVM annotation.
vitis_vinifera	cds	raw/phylogeny_outgroups/legacy_linked_pending_provenance/Vitis_vinifera/cds.fna	46721772	37468	6c5ccee8b2d9d4c172665f429377be165fff540cc129466586401adc7c44a78d	resolved	accession_and_cultivar_pending	legacy_sensitivity_tree	PN1-PN19 chromosome naming; exact source version must be reconstructed.
vitis_vinifera	gff	raw/phylogeny_outgroups/legacy_linked_pending_provenance/Vitis_vinifera/genes.gff3	63952667	NA	18b617220f646251a062078e9cf890e7684eba5f67ce2548aa243b0aaf761011	resolved	accession_and_cultivar_pending	legacy_sensitivity_tree	GWAP/Vitvi identifiers; exact source version must be reconstructed.
vitis_vinifera	genome	raw/phylogeny_outgroups/legacy_linked_pending_provenance/Vitis_vinifera/genome.fasta	494873334	19	32453709665cdcda69c7abcfd0f05d528f978141308e41574874a00e244b3136	resolved	accession_and_cultivar_pending	legacy_sensitivity_tree	Nineteen chromosome records; weakest-provenance legacy outgroup genome.
vitis_vinifera	protein	raw/phylogeny_outgroups/legacy_linked_pending_provenance/Vitis_vinifera/primary_proteins.faa	16023540	37468	cdb72339e41becbd192102e622ab9b0627a03df5317a78a266a01060ac9c8f32	resolved	accession_and_cultivar_pending	legacy_sensitivity_tree	One unique normalized base ID per record in the legacy file.
