reference_map_id	reference_id	reference_role	reference_scope_id	reference_chromosome	canonical_chromosome	status
hongyang_v4_hy4a_map_v1	act_chinensis_hongyang_v4_hy4a	primary_coordinate_reference	hongyang_v4_hy4a_29_chromosomes	Chr01A	Chr01	verified
hongyang_v4_hy4a_map_v1	act_chinensis_hongyang_v4_hy4a	primary_coordinate_reference	hongyang_v4_hy4a_29_chromosomes	Chr02A	Chr02	verified
hongyang_v4_hy4a_map_v1	act_chinensis_hongyang_v4_hy4a	primary_coordinate_reference	hongyang_v4_hy4a_29_chromosomes	Chr03A	Chr03	verified
hongyang_v4_hy4a_map_v1	act_chinensis_hongyang_v4_hy4a	primary_coordinate_reference	hongyang_v4_hy4a_29_chromosomes	Chr04A	Chr04	verified
hongyang_v4_hy4a_map_v1	act_chinensis_hongyang_v4_hy4a	primary_coordinate_reference	hongyang_v4_hy4a_29_chromosomes	Chr05A	Chr05	verified
hongyang_v4_hy4a_map_v1	act_chinensis_hongyang_v4_hy4a	primary_coordinate_reference	hongyang_v4_hy4a_29_chromosomes	Chr06A	Chr06	verified
hongyang_v4_hy4a_map_v1	act_chinensis_hongyang_v4_hy4a	primary_coordinate_reference	hongyang_v4_hy4a_29_chromosomes	Chr07A	Chr07	verified
hongyang_v4_hy4a_map_v1	act_chinensis_hongyang_v4_hy4a	primary_coordinate_reference	hongyang_v4_hy4a_29_chromosomes	Chr08A	Chr08	verified
hongyang_v4_hy4a_map_v1	act_chinensis_hongyang_v4_hy4a	primary_coordinate_reference	hongyang_v4_hy4a_29_chromosomes	Chr09A	Chr09	verified
hongyang_v4_hy4a_map_v1	act_chinensis_hongyang_v4_hy4a	primary_coordinate_reference	hongyang_v4_hy4a_29_chromosomes	Chr10A	Chr10	verified
hongyang_v4_hy4a_map_v1	act_chinensis_hongyang_v4_hy4a	primary_coordinate_reference	hongyang_v4_hy4a_29_chromosomes	Chr11A	Chr11	verified
hongyang_v4_hy4a_map_v1	act_chinensis_hongyang_v4_hy4a	primary_coordinate_reference	hongyang_v4_hy4a_29_chromosomes	Chr12A	Chr12	verified
hongyang_v4_hy4a_map_v1	act_chinensis_hongyang_v4_hy4a	primary_coordinate_reference	hongyang_v4_hy4a_29_chromosomes	Chr13A	Chr13	verified
hongyang_v4_hy4a_map_v1	act_chinensis_hongyang_v4_hy4a	primary_coordinate_reference	hongyang_v4_hy4a_29_chromosomes	Chr14A	Chr14	verified
hongyang_v4_hy4a_map_v1	act_chinensis_hongyang_v4_hy4a	primary_coordinate_reference	hongyang_v4_hy4a_29_chromosomes	Chr15A	Chr15	verified
hongyang_v4_hy4a_map_v1	act_chinensis_hongyang_v4_hy4a	primary_coordinate_reference	hongyang_v4_hy4a_29_chromosomes	Chr16A	Chr16	verified
hongyang_v4_hy4a_map_v1	act_chinensis_hongyang_v4_hy4a	primary_coordinate_reference	hongyang_v4_hy4a_29_chromosomes	Chr17A	Chr17	verified
