priority	taxon_or_lineage	minimum_role	calibration_enabled_if_present	current_status	notes
1	Saurauia tristyla	Actinidiaceae internal bracket	actinidiaceae_crown_parasaurauia	prohibited_no_compatible_nuclear_asset_minimal_policy	The exact Zenodo 13835677 audit found no S. tristyla assembled Angiosperms353 record and only an ITS-supported terminal. Do not graft it and do not acquire rescue reads under the minimal-outgroup policy.
2	Enkianthus sp.	basal Ericaceae bracket	ericaceae_crown_paleoenkianthus	not_acquired_minimal_policy	Existing Rhododendron tips alone cannot define crown Ericaceae; therefore this fossil remains disabled.
3	Rhododendron camtschaticum	Therorhodion basal Rhododendron bracket	rhododendron_crown_newburyanum	not_acquired_minimal_policy	One legacy core Rhododendron is retained, but no new Therorhodion tip is acquired; Newburyanum remains disabled.
4	Leea coccinea	Leeoideae outgroup to Vitoideae	vitoideae_crown_indovitis	exact_genome_gff_asset_selected_but_not_a_crown_vitoideae_descendant	Use one declared Lco1464 representative haplotype only if its rooting diagnostic passes. Leea is outside Vitoideae and cannot replace the missing second crown-spanning Vitoideae descendant.
5	Crown-spanning non-Vitis Vitoideae lineage	Second Vitoideae descendant across crown Vitoideae from the selected Vitis tip	vitoideae_crown_indovitis	not_acquired_minimal_policy	The exact lineage would have to be fixed from the accepted topology and the fossil-placement test before activation. Vitis is currently the only Vitoideae tip.
6	Catharanthus roseus	Apocynaceae rooting alternative	none_internal_rubiaceae	exact_ncbi_matched_bundle_selected_not_a_rubiaceae_bracket	Retain the exact GCA_024505715.1 bundle for the declared Coffea rooting swap. It cannot define a node internal to Rubiaceae.
7	Luculia or Coptosapelta	basal Rubiaceae bracket	rubiaceae_internal_candidate	not_acquired_minimal_policy	No additional Rubiaceae asset is acquired; the candidate fossil row remains disabled.
8	Psychotria or Rubia	second major Rubiaceae lineage	rubiaceae_internal_candidate	not_acquired_minimal_policy	No additional Rubiaceae asset is acquired; the candidate fossil row remains disabled.
9	Roridula sp.	Actinidiaceae sister-lineage bracket	actinidiaceae_crown_parasaurauia	not_acquired_minimal_policy	No new taxon is acquired for a stem-Actinidiaceae placement sensitivity.
10	Dipentodon sinicus and/or Paeonia lactiflora	rosid/Saxifragales root context	core_eudicot_root_soft_maximum	not_acquired_minimal_policy	No new deep-root taxon is acquired; the secondary root-tail design remains a sensitivity only.
