taxon_id	biological_species	primary_representation_rule	primary_preference	diagnostic_representation	cafe5_count_policy	required_sensitivities	selection_status
clem_scandens	Clematoclethra scandens	Use one identity-verified complete matched reference proteome	Current chromosome-level reference only after the Clematoclethra scandens label and accession reconcile	Retain no duplicated technical tip unless a genuinely independent assembly is evaluated	Counts from the selected validated primary-isoform proteome	identity or accession alternative if the label audit changes	pending_identity_and_qc
act_arguta	Actinidia arguta	Use one QC-passing haploid complement; selection is based on identity scope BUSCO annotation integrity and orthologue occupancy not topology	Use complement C to preserve the manuscript comparison only if C passes all gates; otherwise apply the frozen QC ranking and record the deviation	All accepted A-D complements and independent assemblies with explicit suffixes	Counts from the single selected complement; never sum A-D as four species	A B C and D representative swaps; independent-assembly swap; exclusion sensitivity	pending_qc
act_chinensis	Actinidia chinensis	Use one QC-passing haploid complement from one declared individual	Use legacy A only if its identity annotation and occupancy pass; otherwise apply the frozen QC ranking	Both accepted haplotypes from each evaluated individual with individual plus haplotype suffixes	Counts from the selected complement only	paired-haplotype swap; alternative-individual swap	pending_qc
act_deliciosa	Actinidia deliciosa	Choose one A-F complement from one fully validated parent bundle; never combine Qinmei and ADM units in one primary representation	Use D from the selected Qinmei or ADM bundle to preserve manuscript continuity if D passes all gates; otherwise apply the frozen QC ranking	All six A-F units from each validated bundle with bundle and subgenome suffixes	Counts from one selected A-F complement and label the result representative-complement gene-family evolution; raw A-F sums are prohibited	A-F representative swaps within the selected bundle; Qinmei-versus-ADM bundle swap; phase-collapsed union only after an independently validated allele/homeolog-collapse rule	pending_bundle_qc
act_eriantha	Actinidia eriantha	Use one QC-passing haplotype from one non-hybrid individual; paired haplotypes are not species replicates	Use wild_Fujian_2025 HAP1 if HAP1 and HAP2 both pass identity scope annotation and occupancy gates; otherwise apply the frozen QC ranking and record why	HAP1 and HAP2 together plus separately labelled full annotated CY38 DG01 and other non-hybrid paired-accession candidates	Counts from the selected single haplotype only	HAP1-versus-HAP2 swap; chromosome-only wild_Fujian versus a full annotated non-hybrid accession; omit-species sensitivity	pending_qc
act_hemsleyana	Actinidia hemsleyana	Use one exact-version QC-passing assembly	Select only after legacy accession and annotation provenance reconcile	All genuinely independent QC-passing assemblies	Counts from the selected representative	alternative-assembly swap if more than one passes	pending_provenance_and_qc
act_latifolia	Actinidia latifolia	Use one exact-version QC-passing assembly	Select only after the ActinidiaBase release and annotation provenance reconcile	All genuinely independent QC-passing assemblies	Counts from the selected representative	alternative-assembly swap if more than one passes	pending_provenance_and_qc
act_longicarpa	Actinidia longicarpa	Use one exact-version QC-passing assembly	Select only after the ActinidiaBase release and annotation provenance reconcile	All genuinely independent QC-passing assemblies	Counts from the selected representative	alternative-assembly swap if more than one passes	pending_provenance_and_qc
act_macrosperma	Actinidia macrosperma	Use the one validated available complement and label unresolved polyploid scope explicitly	Legacy unit only if its exact ActinidiaBase release and annotation provenance reconcile	Do not fabricate four haplotypes; add only genuinely recovered independent units	Counts from the selected unresolved complement and not total tetraploid dosage	omit-species sensitivity; alternative-assembly swap if a matched release becomes available	pending_provenance_and_qc
act_polygama	Actinidia polygama	Use one exact-version QC-passing assembly	Select only after the ActinidiaBase release and annotation provenance reconcile	All genuinely independent QC-passing assemblies	Counts from the selected representative	alternative-assembly swap if more than one passes	pending_provenance_and_qc
act_reticulata	Actinidia reticulata	Use one exact-version QC-passing assembly	Select only after the ActinidiaBase release and annotation provenance reconcile	All genuinely independent QC-passing assemblies	Counts from the selected representative	alternative-assembly swap if more than one passes	pending_provenance_and_qc
act_rufa	Actinidia rufa	Use one complete-scope QC-passing assembly for phylogeny independently of the gene-loss inclusion decision	Apply the frozen identity scope BUSCO annotation and orthologue-occupancy ranking across ARU Fuchu and sequence-distinct ActinidiaBase v1; do not select by topology and do not treat the unnamed ActinidiaBase plant as an independent biological replicate	All sequence-distinct candidates with assembly and scope suffixes; keep the chromosome-only manuscript input reproduction-only	Counts from the selected complete representative only	ARU Fuchu and ActinidiaBase end-to-end representative swaps with matching loss row topology and time tree; omit-species sensitivity; never treat alternative assemblies as species replicates	pending_identity_scope_and_qc
act_zhejiangensis	Actinidia x zhejiangensis	Retain the two parental haplomes as separately labelled primary lineage terminals by author decision	Use both legacy A and B as separate primary lineage tips with upright suffixes	Keep both A and B in every per-unit gene-loss product; an all-unit diagnostic tree is optional rather than required	Use one family-count row for A and one for B; never sum them into one artificial count	No shared-individual constraint and no A-B-pruned sensitivity	selected_two_parental_lineages
