outgroup_set_id	entry_id	eligible_taxon_ids	min_tips	max_tips	relation_to_primary	selection_rule	phylogenetic_role	calibration_effect	download_policy	status	evidence_source
primary_minimal	one_rhododendron	rhodo_delavayi;rhodo_simsii;rhodo_vialii	1	1	member	Select exactly one existing Rhododendron asset by frozen provenance genome/protein BUSCO annotation integrity and orthogroup occupancy; never select by preferred topology.	Nearest available non-Actinidiaceae Ericales context.	Does not activate crown Ericaceae or crown Rhododendron fossils because the required basal descendant lineages are absent.	existing_assets_only_no_new_taxa	pending_qc_and_provenance	config/phylogeny/legacy_outgroup_assets.tsv
primary_minimal	coffea_arabica	coffea_arabica	1	1	member	Retain the existing matched legacy bundle only if identity provenance annotation compatibility BUSCO and occupancy pass.	Intermediate Gentianales representative and manuscript-continuity outgroup.	A single Coffea tip cannot define an internal Rubiaceae fossil node.	existing_assets_only_no_new_taxa	pending_qc_and_provenance	config/phylogeny/legacy_outgroup_assets.tsv
primary_minimal	vitis_vinifera	vitis_vinifera	1	1	member	Retain the existing PN40024-like legacy bundle only after exact accession/release provenance and protein compatibility pass.	Distant rosid root context and exact manuscript WGD/TimeTree comparison taxon.	Vitis alone activates no Vitaceae or Vitoideae fossil calibration.	existing_assets_only_no_new_taxa	pending_qc_and_provenance	config/phylogeny/legacy_outgroup_assets.tsv
primary_minimal	leea_coccinea	leea_coccinea	0	1	conditional_addition	Add one QC-passing Lco1464 haplotype only if its occupancy passes and the predeclared Vitis-only versus Vitis-plus-Leea rooting diagnostic shows useful root stability; never count h1 and h2 as species.	Optional second Vitales tip that can test the single-distant-Vitis root.	Leea is outside Vitoideae and cannot supply the second Vitoideae descendant required to reproduce an Indovitis crown-Vitoideae calibration.	already_acquired_no_new_taxa	conditional_pending_qc_occupancy_and_rooting_diagnostic	https://doi.org/10.3732/ajb.1300008
primary_minimal	catharanthus_roseus	catharanthus_roseus	0	0	excluded_use_declared_swap	Do not co-include by default; retain the acquired matched bundle for the separate Coffea replacement sensitivity.	No default primary-tree role while Coffea passes; clean one-for-one Gentianales rooting alternative if Coffea fails or for a labelled sensitivity.	Catharanthus is Apocynaceae and cannot bracket an internal Rubiaceae fossil.	already_acquired_no_new_taxa	not_in_primary_use_declared_swap	config/phylogeny/public_outgroup_downloads.tsv
catharanthus_for_coffea_root_swap	catharanthus_roseus	catharanthus_roseus	1	1	replaces_coffea_arabica	Replace Coffea rather than silently adding another distant taxon; rebuild every affected locus and topology.	Rooting and long-branch sensitivity using the already acquired matched Apocynaceae bundle.	No Rubiaceae fossil is activated in this swap.	already_acquired_no_new_taxa	planned_after_qc	config/phylogeny/public_outgroup_downloads.tsv
legacy_tree_reproduction	legacy_rhododendron_three	rhodo_delavayi;rhodo_simsii;rhodo_vialii	3	3	legacy_exact_members	Retain all three exact manuscript-era Rhododendron tips only in the labelled legacy tree reproduction.	Exact submitted mixed-tip tree membership.	Legacy TimeTree point constraints are frozen separately and are not validated fossils.	existing_assets_only_no_new_taxa	legacy_reproduction_only	config/phylogeny/legacy_chronos_calibrations.tsv
legacy_tree_reproduction	coffea_arabica	coffea_arabica	1	1	legacy_exact_member	Retain the exact manuscript-era Coffea tip in the labelled legacy tree reproduction.	Exact submitted root/outgroup membership.	Legacy TimeTree point constraints are frozen separately and are not validated fossils.	existing_assets_only_no_new_taxa	legacy_reproduction_only	config/phylogeny/legacy_chronos_calibrations.tsv
legacy_wgd_timetree_comparison	vitis_vinifera	vitis_vinifera	1	1	legacy_external_comparison	Use the exact legacy Vitis asset only with its declared Actinidia chinensis comparison and recovered TimeTree query metadata.	Exact manuscript WGD/Ks time-scaling comparison outside the submitted 17-tip tree.	The manuscript reports 111.4--123.9 Ma for Vitis--A. chinensis; this is a labelled secondary comparison not a revised-tree fossil.	existing_assets_only_no_new_taxa	legacy_reproduction_metadata_incomplete	docs/OUTGROUPS_AND_CALIBRATIONS.md
global_exclusion	saurauia_tristyla	saurauia_tristyla	0	0	prohibited	Do not download rescue reads and do not graft the ITS-only published terminal into the new nuclear matrix.	Published topology/age context only.	No Actinidiaceae fossil can be activated from this incompatible asset.	no_further_acquisition	prohibited_no_compatible_nuclear_genome_or_proteome	config/phylogeny/public_outgroup_downloads.tsv
