genome_seqid	gff_seqid	canonical_seqid
Chr1	Chr1	PubChr01
Chr2	Chr2	PubChr02
Chr3	Chr3	PubChr03
Chr4	Chr4	PubChr04
Chr5	Chr5	PubChr05
Chr6	Chr6	PubChr06
Chr7	Chr7	PubChr07
Chr8	Chr8	PubChr08
Chr9	Chr9	PubChr09
Chr10	Chr10	PubChr10
Chr11	Chr11	PubChr11
Chr12	Chr12	PubChr12
Chr13	Chr13	PubChr13
Chr14	Chr14	PubChr14
Chr15	Chr15	PubChr15
Chr16	Chr16	PubChr16
Chr17	Chr17	PubChr17
Chr18	Chr18	PubChr18
Chr19	Chr19	PubChr19
Chr20	Chr20	PubChr20
Chr21	Chr21	PubChr21
Chr22	Chr22	PubChr22
Chr23	Chr23	PubChr23
Chr24	Chr24	PubChr24
Chr25	Chr25	PubChr25
Chr26	Chr26	PubChr26
Chr27	Chr27	PubChr27
Chr28	Chr28	PubChr28
Chr29	Chr29	PubChr29
