tree_tip	biological_species	include	rationale
Actinidia_arguta_C	Actinidia arguta	true	frozen_primary_lineage_representative
Actinidia_chinensis_A	Actinidia chinensis	true	frozen_primary_lineage_representative
Actinidia_deliciosa_ADM_D	Actinidia deliciosa	true	frozen_primary_lineage_representative
Actinidia_eriantha_HAP1	Actinidia eriantha	true	frozen_primary_lineage_representative
Actinidia_hemsleyana	Actinidia hemsleyana	true	frozen_primary_lineage_representative
Actinidia_latifolia	Actinidia latifolia	true	frozen_primary_lineage_representative
Actinidia_longicarpa	Actinidia longicarpa	true	frozen_primary_lineage_representative
Actinidia_macrosperma	Actinidia macrosperma	true	frozen_primary_lineage_representative
Actinidia_polygama	Actinidia polygama	true	frozen_primary_lineage_representative
Actinidia_reticulata	Actinidia reticulata	true	frozen_primary_lineage_representative
Actinidia_rufa_ActinidiaBase_v1	Actinidia rufa	true	frozen_primary_lineage_representative
Actinidia_x_zhejiangensis_A	Actinidia x zhejiangensis parental lineage A	true	frozen_author_decision_separate_parental_lineage
Actinidia_x_zhejiangensis_B	Actinidia x zhejiangensis parental lineage B	true	frozen_author_decision_separate_parental_lineage
Clematoclethra_scandens	Clematoclethra scandens	false	outgroup_excluded_from_loss_pgls
Coffea_arabica_E	Coffea arabica E	false	outgroup_excluded_from_loss_pgls
Rhododendron_simsii	Rhododendron simsii	false	outgroup_excluded_from_loss_pgls
Vitis_vinifera	Vitis vinifera	false	outgroup_excluded_from_loss_pgls
