terminal_id	genome_path	gff_path	source_genes	source_mrna_rows	primary_action	selection_policy	invalid_coding_gene_policy	production_protein_path	production_cds_path	note
clem_scandens	legacy_linked/clem_scandens_reference_legacy/genome.fasta	legacy_linked/clem_scandens_reference_legacy/annotation.gff3	35558	41457	reextract_completed	longest_valid_spliced_CDS_then_genomic_span_then_transcript_ID	omit	standardized/phylogeny_primary_reextract/clem_scandens/clem_scandens.protein.faa	standardized/phylogeny_primary_reextract/clem_scandens/clem_scandens.cds.fa	35,557 valid models pass gffread; one invalid coding gene is omitted. Gene-loss SynOrths retains the frozen legacy reference.
act_arguta_C	legacy_linked/act_arguta_c_legacy/genome.fasta	legacy_linked/act_arguta_c_legacy/gff.gff	39833	49271	reuse_legacy_longest_span_verified	legacy_longest_genomic_mRNA_span_then_exact_protein_CDS_translation	omit_not_rerun	legacy_linked/act_arguta_c_legacy/protein.faa	raw/phylogeny_ingroup/legacy_tree_cds/Actinidia_arguta_C.fa	The recovered old code selects the longest mRNA span per gene; all 39,833 protein IDs have exact matching translated CDS. Revised re-extraction was rejected because independent gffread disagreed for three proteins, so no unverified replacement is forced.
act_chinensis_A	legacy_linked/act_chinensis_a_legacy/genome.fasta	legacy_linked/act_chinensis_a_legacy/gff.gff3	45434	51215	reextract_completed	longest_valid_spliced_CDS_then_genomic_span_then_transcript_ID	omit	standardized/phylogeny_primary_reextract/act_chinensis_A/act_chinensis_A.protein.faa	standardized/phylogeny_primary_reextract/act_chinensis_A/act_chinensis_A.cds.fa	All 45,434 selected models pass the independent gffread sequence gate; HY4A remains the selected primary complement.
act_hemsleyana	legacy_linked/act_hemsleyana_legacy/genome.fasta	legacy_linked/act_hemsleyana_legacy/gff.gff	42460	46541	reextract_completed	longest_valid_spliced_CDS_then_genomic_span_then_transcript_ID	omit	standardized/phylogeny_primary_reextract/act_hemsleyana/act_hemsleyana.protein.faa	standardized/phylogeny_primary_reextract/act_hemsleyana/act_hemsleyana.cds.fa	41,016 coding genes pass the independent gffread sequence gate; remaining annotated genes have no CDS transcript.
act_latifolia	legacy_linked/act_latifolia_legacy/genome.fasta	legacy_linked/act_latifolia_legacy/gff.gff3	41317	41317	reextract_completed	longest_valid_spliced_CDS_then_genomic_span_then_transcript_ID	omit	standardized/act_latifolia_legacy_chromosome_scope/primary_annotation_strict/act_latifolia.protein.faa	standardized/act_latifolia_legacy_chromosome_scope/primary_annotation_strict/act_latifolia.cds.fa	40,943 valid models pass gffread; 374 invalid coding genes are audited and omitted.
act_longicarpa	legacy_linked/act_longicarpa_legacy/genome.fasta	legacy_linked/act_longicarpa_legacy/gff.gff3	47014	47014	reuse_exact_single_isoform	sole_annotated_mRNA_per_gene	omit_not_rerun	legacy_linked/act_longicarpa_legacy/protein.faa	raw/phylogeny_ingroup/legacy_tree_cds/Actinidia_longicarpa.fa	One annotated mRNA per gene; exact protein-CDS translation audit passes, so longest-isoform choice is unambiguous.
act_macrosperma	legacy_linked/act_macrosperma_legacy/genome.fasta	legacy_linked/act_macrosperma_legacy/gff.gff3	43756	43756	reuse_exact_single_isoform	sole_annotated_mRNA_per_gene	omit_not_rerun	legacy_linked/act_macrosperma_legacy/protein.faa	raw/phylogeny_ingroup/legacy_tree_cds/Actinidia_macrosperma.fa	One annotated mRNA per gene; exact protein-CDS translation audit passes.
act_polygama	legacy_linked/act_polygama_legacy/genome.fasta	legacy_linked/act_polygama_legacy/gff.gff3	43213	43213	reuse_exact_single_isoform	sole_annotated_mRNA_per_gene	omit_not_rerun	legacy_linked/act_polygama_legacy/protein.faa	raw/phylogeny_ingroup/legacy_tree_cds/Actinidia_polygama.fa	One annotated mRNA per gene; exact protein-CDS translation audit passes.
act_reticulata	legacy_linked/act_reticulata_legacy/genome.fasta	legacy_linked/act_reticulata_legacy/gff.gff	45478	45478	reuse_exact_single_isoform	sole_annotated_mRNA_per_gene	omit_not_rerun	legacy_linked/act_reticulata_legacy/protein.faa	raw/phylogeny_ingroup/legacy_tree_cds/Actinidia_reticulata.fa	One annotated mRNA per gene; exact protein-CDS translation audit passes.
act_zhejiangensis_A	legacy_linked/act_zhejiangensis_a_legacy/genome.fasta	legacy_linked/act_zhejiangensis_a_legacy/gff.gff	42696	48720	reextract_completed	longest_valid_spliced_CDS_then_genomic_span_then_transcript_ID	omit	standardized/phylogeny_primary_reextract/act_zhejiangensis_A/act_zhejiangensis_A.protein.faa	standardized/phylogeny_primary_reextract/act_zhejiangensis_A/act_zhejiangensis_A.cds.fa	41,191 coding genes pass gffread; retain the upright A suffix and an independent primary-lineage result.
act_zhejiangensis_B	legacy_linked/act_zhejiangensis_b_legacy/genome.fasta	legacy_linked/act_zhejiangensis_b_legacy/gff.gff	43027	49316	reextract_completed	longest_valid_spliced_CDS_then_genomic_span_then_transcript_ID	omit	standardized/phylogeny_primary_reextract/act_zhejiangensis_B/act_zhejiangensis_B.protein.faa	standardized/phylogeny_primary_reextract/act_zhejiangensis_B/act_zhejiangensis_B.cds.fa	41,559 coding genes pass gffread; retain the upright B suffix and an independent primary-lineage result.
