asset_id	assembly_unit_id	asset_type	url	relative_path	expected_bytes	md5	sha256	download	source_note
eriantha_hap1_genome	act_eriantha_hap1_2026	genome	https://ndownloader.figshare.com/files/60892630	downloads/Actinidia_eriantha/HAP1_2026/hap1.genome.fa.gz	188990706	6da673982cdf224fb3a4cc1e085bf5e9	d02a830d2c38c50ab0f486dbd3b77f812f2ea18e1aae4c82c32d727e33dbbc4b	true	Official 29-pseudochromosome genome from the same complete Figshare v1 file bundle as the HAP1 GFF and protein; this matched trio is required for production.
eriantha_hap1_gff	act_eriantha_hap1_2026	gff	https://ndownloader.figshare.com/files/60892621	downloads/Actinidia_eriantha/HAP1_2026/hap1.gff.gz	8008970	6cb8a8df07b509f8968981d3f3504778	c1d591f67affb67a63847f25c2c7b48ef2e8ddfda7691a59108243b71c922538	true	Official Figshare file; Figshare handshake uses the local Mihomo proxy because direct server egress is blocked by AWS WAF.
eriantha_hap1_protein	act_eriantha_hap1_2026	protein	https://ndownloader.figshare.com/files/60892618	downloads/Actinidia_eriantha/HAP1_2026/hap1.gene.aa.gz	9171082	3f68b26c00f407f07894640773f0e4a3	b1c8c25d395e04010e6ee49339dd83b155fb66d978faeeefe51838e13dc53fa9	true	Official Figshare file; Figshare handshake uses the local Mihomo proxy because direct server egress is blocked by AWS WAF.
eriantha_hap1_genome_ncbi_anchored_quarantine	act_eriantha_hap1_2026	genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/982/292/455/GCA_982292455.1_HAP1/GCA_982292455.1_HAP1_genomic.fna.gz	downloads/Actinidia_eriantha/HAP1_2026/GCA_982292455.1_HAP1_genomic.fna.gz	198786873	c083e3381bd69558e92d93902158dcd3		false	Quarantined provenance copy: mixing this NCBI FASTA with the Figshare annotation failed coding-sequence compatibility checks and is prohibited for production.
eriantha_hap2_genome	act_eriantha_hap2_2026	genome	https://ndownloader.figshare.com/files/60892633	downloads/Actinidia_eriantha/HAP2_2026/hap2.genome.fa.gz	186605112	9cb70494dcaa22dbf3966d0701e802ff	75d2d38fb2ea9fb057eb285f95283896dfef6bc7896441b9e9111a7a65fd7b00	true	Official 29-pseudochromosome genome from the same complete Figshare v1 file bundle as the HAP2 GFF and protein; this matched trio is required for production.
eriantha_hap2_gff	act_eriantha_hap2_2026	gff	https://ndownloader.figshare.com/files/60892627	downloads/Actinidia_eriantha/HAP2_2026/hap2.gff.gz	7968116	2dea1e20b0a4d52d4ae135eec87fd4a7	591823f9dd412a09477c0f74d7d815239861be9b125cabfdc65b5c14d891ebc1	true	Official Figshare file; Figshare handshake uses the local Mihomo proxy because direct server egress is blocked by AWS WAF.
eriantha_hap2_protein	act_eriantha_hap2_2026	protein	https://ndownloader.figshare.com/files/60892624	downloads/Actinidia_eriantha/HAP2_2026/hap2.gene.aa.gz	9221829	4749c653bd26e2a6a48f566d2f5d7d8a	7afc3aac0f482760210b638d274a689c5c76b245b5cc7a571a5e24d067e48530	true	Official Figshare file; Figshare handshake uses the local Mihomo proxy because direct server egress is blocked by AWS WAF.
eriantha_hap2_genome_ncbi_anchored_quarantine	act_eriantha_hap2_2026	genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/982/292/445/GCA_982292445.1_HAP2/GCA_982292445.1_HAP2_genomic.fna.gz	downloads/Actinidia_eriantha/HAP2_2026/GCA_982292445.1_HAP2_genomic.fna.gz	196344816	8b45c935fb49db352337778e30d5318a		false	Quarantined provenance copy: it is retained only to document the non-matched NCBI/annotation audit and cannot enter production.
deliciosa_qinmei_genome	act_deliciosa_qinmei_2025	genome	https://ndownloader.figshare.com/files/53296931	downloads/Actinidia_deliciosa/Qinmei_2025/qinmei.genome.fa	3576429311	499affe1e636f9085f455b83576c33f8		true	Official 174-chromosome Figshare asset; Figshare handshake uses the local Mihomo proxy.
deliciosa_qinmei_gff	act_deliciosa_qinmei_2025	gff	https://ndownloader.figshare.com/files/53292764	downloads/Actinidia_deliciosa/Qinmei_2025/qinmei.gff	262803057	8238b570ebdfb61f5f2b4bb5483d19a8		true	Official Figshare asset containing chromosome and unmatched scf annotations.
deliciosa_qinmei_protein	act_deliciosa_qinmei_2025	protein	https://ndownloader.figshare.com/files/53292758	downloads/Actinidia_deliciosa/Qinmei_2025/qinmei.protein.fa	97516883	752fc19ea42c1ba7e935889549dbe6ab		true	Official combined protein asset.
deliciosa_qinmei_cds	act_deliciosa_qinmei_2025	cds	https://ndownloader.figshare.com/files/53292761	downloads/Actinidia_deliciosa/Qinmei_2025/qinmei.cds.fa	281161918	67701944224f50fe1660fb5d532e0abe		true	Official combined CDS asset.
deliciosa_adm_genome	act_deliciosa_adm_2026	genome	https://download.cncb.ac.cn/gwh/Plants/Actinidia_deliciosa_ADM_GWHJJEQ00000000.1/GWHJJEQ00000000.1.genome.fasta.gz	downloads/Actinidia_deliciosa/ADM_2026/GWHJJEQ00000000.1.genome.fasta.gz	1066098960	83830332f1d57fb2d805775a343e6152		true	Official GWH bundle and official GWH MD5 manifest.
deliciosa_adm_gff	act_deliciosa_adm_2026	gff	https://download.cncb.ac.cn/gwh/Plants/Actinidia_deliciosa_ADM_GWHJJEQ00000000.1/GWHJJEQ00000000.1.gff.gz	downloads/Actinidia_deliciosa/ADM_2026/GWHJJEQ00000000.1.gff.gz	63358833	e2f1f535acd6f069b1adfb5b127f11d4		true	Official GWH bundle and official GWH MD5 manifest.
deliciosa_adm_protein	act_deliciosa_adm_2026	protein	https://download.cncb.ac.cn/gwh/Plants/Actinidia_deliciosa_ADM_GWHJJEQ00000000.1/GWHJJEQ00000000.1.Protein.faa.gz	downloads/Actinidia_deliciosa/ADM_2026/GWHJJEQ00000000.1.Protein.faa.gz	73238132	7b921611654183d73acfaf66dbabf2f0		true	Official GWH bundle and official GWH MD5 manifest.
deliciosa_adm_cds	act_deliciosa_adm_2026	cds	https://download.cncb.ac.cn/gwh/Plants/Actinidia_deliciosa_ADM_GWHJJEQ00000000.1/GWHJJEQ00000000.1.CDS.fasta.gz	downloads/Actinidia_deliciosa/ADM_2026/GWHJJEQ00000000.1.CDS.fasta.gz	103964312	7bcd194b75e64ee3704dd4d5ae2bfc46		true	Official GWH bundle and official GWH MD5 manifest.
rufa_aru_genome	act_rufa_aru_r1	genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/159/155/GCA_030159155.1_ARU_r1.0/GCA_030159155.1_ARU_r1.0_genomic.fna.gz	downloads/Actinidia_rufa/ARU_r1.0/GCA_030159155.1_ARU_r1.0_genomic.fna.gz	191303429	9a4a2f652822a2d52f20d739ceed9d3c		true	Official NCBI genome and checksum; locally observed SHA-256 is frozen in config/rufa_bundle_scope_identity.tsv.
rufa_aru_gff	act_rufa_aru_r1	gff	https://genome.kazusa.or.jp/download/Actinidia_rufa/t165716.G001/ARU1.0.genes.gff.gz	downloads/Actinidia_rufa/ARU_r1.0/ARU1.0.genes.gff.gz	7072736			true	Matched Kazusa annotation; no publisher checksum, so verify size and freeze the observed SHA-256 in the identity audit.
rufa_aru_protein	act_rufa_aru_r1	protein	https://genome.kazusa.or.jp/download/Actinidia_rufa/t165716.G001/ARU1.0.proteins.fasta.gz	downloads/Actinidia_rufa/ARU_r1.0/ARU1.0.proteins.fasta.gz	13719497			true	Matched Kazusa annotation; no publisher checksum; the exact local SHA-256 is recorded in the resolved asset manifest.
rufa_aru_cds	act_rufa_aru_r1	cds	https://genome.kazusa.or.jp/download/Actinidia_rufa/t165716.G001/ARU1.0.cds.fasta.gz	downloads/Actinidia_rufa/ARU_r1.0/ARU1.0.cds.fasta.gz	21826341			true	Matched Kazusa annotation; no publisher checksum; the exact local SHA-256 is recorded in the resolved asset manifest.
rufa_fuchu_genome	act_rufa_fuchu	genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/362/265/GCA_014362265.1_A.rufaFuchu_1.0/GCA_014362265.1_A.rufaFuchu_1.0_genomic.fna.gz	downloads/Actinidia_rufa/Fuchu/GCA_014362265.1_A.rufaFuchu_1.0_genomic.fna.gz	203849960	d0841da5e4bf93e11df41ee868b133c5		true	Official NCBI annotated bundle; locally observed SHA-256 is frozen in config/rufa_bundle_scope_identity.tsv.
rufa_fuchu_gff	act_rufa_fuchu	gff	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/362/265/GCA_014362265.1_A.rufaFuchu_1.0/GCA_014362265.1_A.rufaFuchu_1.0_genomic.gff.gz	downloads/Actinidia_rufa/Fuchu/GCA_014362265.1_A.rufaFuchu_1.0_genomic.gff.gz	5140356	21a07a3379963af4783edb6dd48ab0ed		true	Official NCBI annotated bundle; locally observed SHA-256 is frozen in config/rufa_bundle_scope_identity.tsv.
rufa_fuchu_protein	act_rufa_fuchu	protein	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/362/265/GCA_014362265.1_A.rufaFuchu_1.0/GCA_014362265.1_A.rufaFuchu_1.0_protein.faa.gz	downloads/Actinidia_rufa/Fuchu/GCA_014362265.1_A.rufaFuchu_1.0_protein.faa.gz	11741278	8e26c2faa3ca4fcefdba5fd86830955b		true	Official NCBI annotated bundle; exact SHA-256 is recorded in the resolved asset manifest and executable assembly registry.
rufa_fuchu_cds	act_rufa_fuchu	cds	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/362/265/GCA_014362265.1_A.rufaFuchu_1.0/GCA_014362265.1_A.rufaFuchu_1.0_cds_from_genomic.fna.gz	downloads/Actinidia_rufa/Fuchu/GCA_014362265.1_A.rufaFuchu_1.0_cds_from_genomic.fna.gz	21043647	fbf5649a09b4a30ca5c9ff6824ab80c3		true	Official NCBI annotated bundle; exact SHA-256 is recorded in the resolved asset manifest.
rufa_actinidiabase_genome	act_rufa_actinidiabase_v1	genome	http://actinidiabase.moilab.net/genome/Actinidia_rufa/v1/genome.fa.gz	downloads/Actinidia_rufa/ActinidiaBase_v1/genome.fa.gz	173092897			true	HTTP-only source without a publisher checksum; expected size is frozen and the locally observed SHA-256 is in config/rufa_bundle_scope_identity.tsv.
rufa_actinidiabase_gff	act_rufa_actinidiabase_v1	gff	http://actinidiabase.moilab.net/genome/Actinidia_rufa/v1/Actinidia_rufa_v1_gene_model.gff3.gz	downloads/Actinidia_rufa/ActinidiaBase_v1/Actinidia_rufa_v1_gene_model.gff3.gz	4665536			true	HTTP-only source without a publisher checksum; expected size is frozen and the locally observed SHA-256 is in config/rufa_bundle_scope_identity.tsv.
rufa_actinidiabase_protein	act_rufa_actinidiabase_v1	protein	http://actinidiabase.moilab.net/genome/Actinidia_rufa/v1/protein.fa.gz	downloads/Actinidia_rufa/ActinidiaBase_v1/protein.fa.gz	10129121			true	HTTP-only source without a publisher checksum; exact local SHA-256 is recorded in the resolved asset manifest and executable assembly registry.
rufa_actinidiabase_cds	act_rufa_actinidiabase_v1	cds	http://actinidiabase.moilab.net/genome/Actinidia_rufa/v1/cds.fa.gz	downloads/Actinidia_rufa/ActinidiaBase_v1/cds.fa.gz	15747221			true	HTTP-only source without a publisher checksum; exact local SHA-256 is recorded in the resolved asset manifest.
