unit	target_genome	synorth_pairs	output_dir
act_arguta_a_legacy	legacy_linked/act_arguta_a_legacy/genome.fasta	legacy_linked/legacy_gene_loss_evidence/synorth_pairs/Actinidia_arguta_A_vs_clematoclethra_synorths.txt	qc/unified_legacy_translated_search_v2_20260722/act_arguta_a_legacy/candidates
act_arguta_b_legacy	legacy_linked/act_arguta_b_legacy/genome.fasta	legacy_linked/legacy_gene_loss_evidence/synorth_pairs/Actinidia_arguta_B_vs_clematoclethra_synorths.txt	qc/unified_legacy_translated_search_v2_20260722/act_arguta_b_legacy/candidates
act_arguta_c_legacy	legacy_linked/act_arguta_c_legacy/genome.fasta	legacy_linked/legacy_gene_loss_evidence/synorth_pairs/Actinidia_arguta_C_vs_clematoclethra_synorths.txt	qc/unified_legacy_translated_search_v2_20260722/act_arguta_c_legacy/candidates
act_arguta_d_legacy	legacy_linked/act_arguta_d_legacy/genome.fasta	legacy_linked/legacy_gene_loss_evidence/synorth_pairs/Actinidia_arguta_D_vs_clematoclethra_synorths.txt	qc/unified_legacy_translated_search_v2_20260722/act_arguta_d_legacy/candidates
act_chinensis_hongyang_v4_hy4a_legacy	legacy_linked/act_chinensis_a_legacy/genome.fasta	legacy_linked/legacy_gene_loss_evidence/synorth_pairs/Actinidia_chinensis_A_vs_clematoclethra_synorths.txt	qc/unified_legacy_translated_search_v2_20260722/act_chinensis_hongyang_v4_hy4a_legacy/candidates
act_chinensis_hongyang_v4_hy4p_legacy	legacy_linked/act_chinensis_b_legacy/genome.fasta	legacy_linked/legacy_gene_loss_evidence/synorth_pairs/Actinidia_chinensis_B_vs_clematoclethra_synorths.txt	qc/unified_legacy_translated_search_v2_20260722/act_chinensis_hongyang_v4_hy4p_legacy/candidates
act_hemsleyana_legacy	legacy_linked/act_hemsleyana_legacy/genome.fasta	legacy_linked/legacy_gene_loss_evidence/synorth_pairs/Actinidia_hemsleyana_vs_clematoclethra_synorths.txt	qc/unified_legacy_translated_search_v2_20260722/act_hemsleyana_legacy/candidates
act_latifolia_legacy	legacy_linked/act_latifolia_legacy/genome.fasta	legacy_linked/legacy_gene_loss_evidence/synorth_pairs/Actinidia_latifolia_vs_clematoclethra_synorths.txt	qc/unified_legacy_translated_search_v2_20260722/act_latifolia_legacy/candidates
act_longicarpa_legacy	legacy_linked/act_longicarpa_legacy/genome.fasta	legacy_linked/legacy_gene_loss_evidence/synorth_pairs/Actinidia_longicarpa_vs_clematoclethra_synorths.txt	qc/unified_legacy_translated_search_v2_20260722/act_longicarpa_legacy/candidates
act_macrosperma_legacy	legacy_linked/act_macrosperma_legacy/genome.fasta	legacy_linked/legacy_gene_loss_evidence/synorth_pairs/Actinidia_macrosperma_vs_clematoclethra_synorths.txt	qc/unified_legacy_translated_search_v2_20260722/act_macrosperma_legacy/candidates
act_polygama_legacy	legacy_linked/act_polygama_legacy/genome.fasta	legacy_linked/legacy_gene_loss_evidence/synorth_pairs/Actinidia_polygama_vs_clematoclethra_synorths.txt	qc/unified_legacy_translated_search_v2_20260722/act_polygama_legacy/candidates
act_reticulata_legacy	legacy_linked/act_reticulata_legacy/genome.fasta	legacy_linked/legacy_gene_loss_evidence/synorth_pairs/Actinidia_reticulata_vs_clematoclethra_synorths.txt	qc/unified_legacy_translated_search_v2_20260722/act_reticulata_legacy/candidates
act_zhejiangensis_a_legacy	legacy_linked/act_zhejiangensis_a_legacy/genome.fasta	legacy_linked/legacy_gene_loss_evidence/synorth_pairs/Actinidia_zhejiangensis_A_vs_clematoclethra_synorths.txt	qc/unified_legacy_translated_search_v2_20260722/act_zhejiangensis_a_legacy/candidates
act_zhejiangensis_b_legacy	legacy_linked/act_zhejiangensis_b_legacy/genome.fasta	legacy_linked/legacy_gene_loss_evidence/synorth_pairs/Actinidia_zhejiangensis_B_vs_clematoclethra_synorths.txt	qc/unified_legacy_translated_search_v2_20260722/act_zhejiangensis_b_legacy/candidates
