unit	map_path	map_mode
act_arguta_a_legacy		already_hy4a_chr_labels
act_arguta_b_legacy		already_hy4a_chr_labels
act_arguta_c_legacy		already_hy4a_chr_labels
act_arguta_d_legacy		already_hy4a_chr_labels
act_chinensis_hongyang_v4_hy4a_legacy		already_hy4a_chr_labels
act_chinensis_hongyang_v4_hy4p_legacy		already_hy4a_chr_labels
act_deliciosa_adm_2026_A	qc/chromosome_label_assignment_similarity_20260719/act_deliciosa_adm_2026_A/similarity_label_map.tsv	similarity_map_to_hy4a
act_deliciosa_adm_2026_B	qc/chromosome_label_assignment_similarity_20260719/act_deliciosa_adm_2026_B/similarity_label_map.tsv	similarity_map_to_hy4a
act_deliciosa_adm_2026_C	qc/chromosome_label_assignment_similarity_20260719/act_deliciosa_adm_2026_C/similarity_label_map.tsv	similarity_map_to_hy4a
act_deliciosa_adm_2026_D	qc/chromosome_label_assignment_similarity_20260719/act_deliciosa_adm_2026_D/similarity_label_map.tsv	similarity_map_to_hy4a
act_deliciosa_adm_2026_E	qc/chromosome_label_assignment_similarity_20260719/act_deliciosa_adm_2026_E/similarity_label_map.tsv	similarity_map_to_hy4a
act_deliciosa_adm_2026_F	qc/chromosome_label_assignment_similarity_20260719/act_deliciosa_adm_2026_F/similarity_label_map.tsv	similarity_map_to_hy4a
act_eriantha_hap1_2026	qc/chromosome_label_assignment_similarity_20260719/act_eriantha_hap1_2026/similarity_label_map.tsv	similarity_map_to_hy4a
act_eriantha_hap2_2026	qc/chromosome_label_assignment_similarity_20260719/act_eriantha_hap2_2026/similarity_label_map.tsv	similarity_map_to_hy4a
act_hemsleyana_legacy		already_hy4a_chr_labels
act_latifolia_legacy		already_hy4a_chr_labels
act_longicarpa_legacy		already_hy4a_chr_labels
act_macrosperma_legacy		already_hy4a_chr_labels
act_polygama_legacy		already_hy4a_chr_labels
act_reticulata_legacy		already_hy4a_chr_labels
act_rufa_actinidiabase_v1	qc/chromosome_label_assignment_similarity_rufa_20260719/act_rufa_actinidiabase_v1/similarity_label_map.tsv	similarity_map_to_hy4a
act_zhejiangensis_a_legacy		already_hy4a_chr_labels
act_zhejiangensis_b_legacy		already_hy4a_chr_labels
