source_seqid	gff_seqid	canonical_seqid	assembly_unit_id	haplotype	length_bp	annotation_feature_rows	gene_rows	annotation_status	sequence_class
Lco1464_v1.0_h1tg000001l	Lco1464_v1.0_h1tg000001l	Lco1464_v1.0_h1tg000001l	leea_coccinea_lco1464_h1	h1	55154392	34789	3371	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000002l	Lco1464_v1.0_h1tg000002l	Lco1464_v1.0_h1tg000002l	leea_coccinea_lco1464_h1	h1	45096052	30421	3004	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000003l	Lco1464_v1.0_h1tg000003l	Lco1464_v1.0_h1tg000003l	leea_coccinea_lco1464_h1	h1	37683499	21241	2206	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000004l	Lco1464_v1.0_h1tg000004l	Lco1464_v1.0_h1tg000004l	leea_coccinea_lco1464_h1	h1	62568551	46137	4065	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000005l	Lco1464_v1.0_h1tg000005l	Lco1464_v1.0_h1tg000005l	leea_coccinea_lco1464_h1	h1	44754660	20974	2454	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000006l	Lco1464_v1.0_h1tg000006l	Lco1464_v1.0_h1tg000006l	leea_coccinea_lco1464_h1	h1	24345399	19043	1792	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000007l	Lco1464_v1.0_h1tg000007l	Lco1464_v1.0_h1tg000007l	leea_coccinea_lco1464_h1	h1	7334233	2773	346	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000008l	Lco1464_v1.0_h1tg000008l	Lco1464_v1.0_h1tg000008l	leea_coccinea_lco1464_h1	h1	42933652	33566	3040	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000009l	Lco1464_v1.0_h1tg000009l	Lco1464_v1.0_h1tg000009l	leea_coccinea_lco1464_h1	h1	40351833	17117	1583	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000010l	Lco1464_v1.0_h1tg000010l	Lco1464_v1.0_h1tg000010l	leea_coccinea_lco1464_h1	h1	44182854	21426	1850	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000011l	Lco1464_v1.0_h1tg000011l	Lco1464_v1.0_h1tg000011l	leea_coccinea_lco1464_h1	h1	38450945	24042	1993	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000012l	Lco1464_v1.0_h1tg000012l	Lco1464_v1.0_h1tg000012l	leea_coccinea_lco1464_h1	h1	52987447	16320	1762	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000013l	Lco1464_v1.0_h1tg000013l	Lco1464_v1.0_h1tg000013l	leea_coccinea_lco1464_h1	h1	3317327	384	70	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000014l	Lco1464_v1.0_h1tg000014l	Lco1464_v1.0_h1tg000014l	leea_coccinea_lco1464_h1	h1	27763895	10180	1071	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000015l	Lco1464_v1.0_h1tg000015l	Lco1464_v1.0_h1tg000015l	leea_coccinea_lco1464_h1	h1	7361783	2254	411	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000016l	Lco1464_v1.0_h1tg000016l	Lco1464_v1.0_h1tg000016l	leea_coccinea_lco1464_h1	h1	7360794	2178	275	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000017l	Lco1464_v1.0_h1tg000017l	Lco1464_v1.0_h1tg000017l	leea_coccinea_lco1464_h1	h1	7319681	8437	589	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000018l	Lco1464_v1.0_h1tg000018l	Lco1464_v1.0_h1tg000018l	leea_coccinea_lco1464_h1	h1	133558	9	2	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000019l	Lco1464_v1.0_h1tg000019l	Lco1464_v1.0_h1tg000019l	leea_coccinea_lco1464_h1	h1	341644	53	11	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000020l	Lco1464_v1.0_h1tg000020l	Lco1464_v1.0_h1tg000020l	leea_coccinea_lco1464_h1	h1	69594	8	2	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000021l		Lco1464_v1.0_h1tg000021l	leea_coccinea_lco1464_h1	h1	122431	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000022l	Lco1464_v1.0_h1tg000022l	Lco1464_v1.0_h1tg000022l	leea_coccinea_lco1464_h1	h1	482569	110	14	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000023l	Lco1464_v1.0_h1tg000023l	Lco1464_v1.0_h1tg000023l	leea_coccinea_lco1464_h1	h1	232978	30	7	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000024l		Lco1464_v1.0_h1tg000024l	leea_coccinea_lco1464_h1	h1	679108	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000025c	Lco1464_v1.0_h1tg000025c	Lco1464_v1.0_h1tg000025c	leea_coccinea_lco1464_h1	h1	224456	104	26	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000026c	Lco1464_v1.0_h1tg000026c	Lco1464_v1.0_h1tg000026c	leea_coccinea_lco1464_h1	h1	126243	60	15	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000027l	Lco1464_v1.0_h1tg000027l	Lco1464_v1.0_h1tg000027l	leea_coccinea_lco1464_h1	h1	186248	33	4	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000028l	Lco1464_v1.0_h1tg000028l	Lco1464_v1.0_h1tg000028l	leea_coccinea_lco1464_h1	h1	360293	50	12	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000029l	Lco1464_v1.0_h1tg000029l	Lco1464_v1.0_h1tg000029l	leea_coccinea_lco1464_h1	h1	508659	36	9	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000030l	Lco1464_v1.0_h1tg000030l	Lco1464_v1.0_h1tg000030l	leea_coccinea_lco1464_h1	h1	60180	27	3	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000031l	Lco1464_v1.0_h1tg000031l	Lco1464_v1.0_h1tg000031l	leea_coccinea_lco1464_h1	h1	374783	20	5	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000032l	Lco1464_v1.0_h1tg000032l	Lco1464_v1.0_h1tg000032l	leea_coccinea_lco1464_h1	h1	130459	31	4	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000033c	Lco1464_v1.0_h1tg000033c	Lco1464_v1.0_h1tg000033c	leea_coccinea_lco1464_h1	h1	137623	16	4	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000034l	Lco1464_v1.0_h1tg000034l	Lco1464_v1.0_h1tg000034l	leea_coccinea_lco1464_h1	h1	78854	4	1	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000035l	Lco1464_v1.0_h1tg000035l	Lco1464_v1.0_h1tg000035l	leea_coccinea_lco1464_h1	h1	141605	4	1	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000036c		Lco1464_v1.0_h1tg000036c	leea_coccinea_lco1464_h1	h1	19654	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000037l	Lco1464_v1.0_h1tg000037l	Lco1464_v1.0_h1tg000037l	leea_coccinea_lco1464_h1	h1	265469	34	7	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000038l		Lco1464_v1.0_h1tg000038l	leea_coccinea_lco1464_h1	h1	34541	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000039l	Lco1464_v1.0_h1tg000039l	Lco1464_v1.0_h1tg000039l	leea_coccinea_lco1464_h1	h1	100099	9	2	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000040l		Lco1464_v1.0_h1tg000040l	leea_coccinea_lco1464_h1	h1	37715	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000041l		Lco1464_v1.0_h1tg000041l	leea_coccinea_lco1464_h1	h1	46027	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
