terminal_id	protein_path	cds_path	use_for_orthofinder	use_for_codon_tree	role	note
clem_scandens	standardized/phylogeny_primary_reextract/clem_scandens/clem_scandens.protein.faa	standardized/phylogeny_primary_reextract/clem_scandens/clem_scandens.cds.fa	true	true	Actinidiaceae_reference	35,557 longest valid spliced-CDS isoforms pass gffread; the legacy protein remains frozen only for gene-loss SynOrths reproduction.
act_arguta_C	legacy_linked/act_arguta_c_legacy/protein.faa	raw/phylogeny_ingroup/legacy_tree_cds/Actinidia_arguta_C.fa	true	true	Actinidia_lineage	Complement C preserves the declared manuscript-continuity representative; A-D remain independent gene-loss units.
act_chinensis_A	standardized/phylogeny_primary_reextract/act_chinensis_A/act_chinensis_A.protein.faa	standardized/phylogeny_primary_reextract/act_chinensis_A/act_chinensis_A.cds.fa	true	true	Actinidia_lineage	45,434 longest valid spliced-CDS isoforms pass gffread; HY4A remains the selected primary complement.
act_deliciosa_ADM_D	standardized/deliciosa_adm_2026_A_to_F/assembly_units/act_deliciosa_adm_2026_D/primary_annotation_strict/act_deliciosa_adm_2026_D.protein.faa	standardized/deliciosa_adm_2026_A_to_F/assembly_units/act_deliciosa_adm_2026_D/primary_annotation_strict/act_deliciosa_adm_2026_D.cds.fa	true	true	Actinidia_lineage	New ADM complement D is the continuity representative; ADM A-F retain independent gene-loss outputs.
act_eriantha_HAP1	standardized/act_eriantha_hap1_2026_figshare_v1_publisher_scope/primary_annotation_strict/act_eriantha_hap1_2026.protein.faa	standardized/act_eriantha_hap1_2026_figshare_v1_publisher_scope/primary_annotation_strict/act_eriantha_hap1_2026.cds.fa	true	true	Actinidia_lineage	HAP1 is the declared representative of the paired HAP1/HAP2 individual; both haplotypes retain independent gene-loss outputs.
act_hemsleyana	standardized/phylogeny_primary_reextract/act_hemsleyana/act_hemsleyana.protein.faa	standardized/phylogeny_primary_reextract/act_hemsleyana/act_hemsleyana.cds.fa	true	true	Actinidia_lineage	41,016 longest valid spliced-CDS isoforms pass gffread; genes without CDS remain in the annotation audit.
act_latifolia	standardized/act_latifolia_legacy_chromosome_scope/primary_annotation_strict/act_latifolia.protein.faa	standardized/act_latifolia_legacy_chromosome_scope/primary_annotation_strict/act_latifolia.cds.fa	true	true	Actinidia_lineage	Re-extracted from the frozen chromosome genome and GFF3: 40,943 longest valid spliced-CDS isoforms pass gffread; 374 genes without a valid coding transcript are omitted and retained in the audit tables.
act_longicarpa	legacy_linked/act_longicarpa_legacy/protein.faa	raw/phylogeny_ingroup/legacy_tree_cds/Actinidia_longicarpa.fa	true	true	Actinidia_lineage	Exact manuscript-era pair reused subject to this translation audit.
act_macrosperma	legacy_linked/act_macrosperma_legacy/protein.faa	raw/phylogeny_ingroup/legacy_tree_cds/Actinidia_macrosperma.fa	true	true	Actinidia_lineage	One unresolved tetraploid complement; no extra haplotypes are inferred.
act_polygama	legacy_linked/act_polygama_legacy/protein.faa	raw/phylogeny_ingroup/legacy_tree_cds/Actinidia_polygama.fa	true	true	Actinidia_lineage	Exact manuscript-era pair reused subject to this translation audit.
act_reticulata	legacy_linked/act_reticulata_legacy/protein.faa	raw/phylogeny_ingroup/legacy_tree_cds/Actinidia_reticulata.fa	true	true	Actinidia_lineage	Exact manuscript-era pair reused subject to this translation audit.
act_rufa_ActinidiaBase_v1	standardized/act_rufa_actinidiabase_v1_publisher_scope/primary_annotation_strict/act_rufa_actinidiabase_v1.protein.faa	standardized/act_rufa_actinidiabase_v1_publisher_scope/primary_annotation_strict/act_rufa_actinidiabase_v1.cds.fa	true	true	Actinidia_lineage	Provisional primary assembly selected by current-input QC and JCVI; ARU remains the assembly-swap sensitivity.
act_zhejiangensis_A	standardized/phylogeny_primary_reextract/act_zhejiangensis_A/act_zhejiangensis_A.protein.faa	standardized/phylogeny_primary_reextract/act_zhejiangensis_A/act_zhejiangensis_A.cds.fa	true	true	hybrid_parental_lineage	41,191 longest valid spliced-CDS isoforms pass gffread; retained with upright A suffix by author decision.
act_zhejiangensis_B	standardized/phylogeny_primary_reextract/act_zhejiangensis_B/act_zhejiangensis_B.protein.faa	standardized/phylogeny_primary_reextract/act_zhejiangensis_B/act_zhejiangensis_B.cds.fa	true	true	hybrid_parental_lineage	41,559 longest valid spliced-CDS isoforms pass gffread; retained with upright B suffix by author decision.
coffea_arabica_E	standardized/phylogeny_primary_reextract/coffea_arabica_E/coffea_arabica_E.protein.faa	standardized/phylogeny_primary_reextract/coffea_arabica_E/coffea_arabica_E.cds.fa	true	true	primary_minimal_outgroup	22,195 longest valid spliced-CDS isoforms from the E annotation pass gffread; 58 genes without a valid coding transcript are audited and omitted.
rhodo_simsii	standardized/rhododendron_simsii_wjxa_legacy_chromosome_scope/primary_annotation_strict/rhododendron_simsii_wjxa.protein.faa	standardized/rhododendron_simsii_wjxa_legacy_chromosome_scope/primary_annotation_strict/rhododendron_simsii_wjxa.cds.fa	true	true	primary_minimal_outgroup	30,419 longest valid spliced-CDS isoforms pass gffread in the chromosome-scope standardization.
vitis_vinifera	raw/phylogeny_outgroups/legacy_linked_pending_provenance/Vitis_vinifera/primary_proteins.faa	raw/phylogeny_outgroups/legacy_linked_pending_provenance/Vitis_vinifera/cds.fna	true	true	primary_minimal_outgroup	37,468 exact protein/CDS pairs from the recovered longest-mRNA workflow are retained because strict re-extraction rejects duplicate Source attributes in the legacy GFF3; no silent GFF cleaning is applied.
