legacy_sample	assembly_unit_id	biological_species	individual_id	haplotype_or_subgenome	ploidy	accession	source_url	legacy_status	notes
Actinidia_arguta_A	act_arguta_a_legacy	Actinidia arguta	legacy_study_individual	A	4x	GWHERBY00000000 haplotype A	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHERBY00000000	current_manuscript_input	Keep as a frozen reproduction input; compare against any newer accepted assembly.
Actinidia_arguta_B	act_arguta_b_legacy	Actinidia arguta	legacy_study_individual	B	4x	GWHERBY00000000 haplotype B	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHERBY00000000	current_manuscript_input	Keep as a frozen reproduction input; compare against any newer accepted assembly.
Actinidia_arguta_C	act_arguta_c_legacy	Actinidia arguta	legacy_study_individual	C	4x	GWHERBY00000000 haplotype C	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHERBY00000000	current_manuscript_input	Legacy species-tree representative was C; the suffix must remain visible.
Actinidia_arguta_D	act_arguta_d_legacy	Actinidia arguta	legacy_study_individual	D	4x	GWHERBY00000000 haplotype D	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHERBY00000000	current_manuscript_input	Keep as a frozen reproduction input; compare against any newer accepted assembly.
Actinidia_chinensis_A	act_chinensis_hongyang_v4_hy4a_legacy	Actinidia chinensis	Hongyang_v4	HY4A (legacy label A)	2x	Hongyang v4.0 HY4A	https://github.com/aaranyue/Hongyang-v4.0	current_manuscript_input_identity_corrected	The frozen legacy file is the Hongyang v4.0 HY4A haplome and is the historical chromosome-coordinate reference; it must not be relabelled as a GWHDODM haplotype without a separate identity proof.
Actinidia_chinensis_B	act_chinensis_hongyang_v4_hy4p_legacy	Actinidia chinensis	Hongyang_v4	HY4P (legacy label B)	2x	Hongyang v4.0 HY4P	https://github.com/aaranyue/Hongyang-v4.0	current_manuscript_input_identity_corrected	The frozen legacy file is the Hongyang v4.0 HY4P haplome; it is a coordinate-mapping sensitivity reference and is not an independent species replicate.
Actinidia_deliciosa_A	act_deliciosa_a_legacy	Actinidia deliciosa	legacy_study_individual	A	6x	unversioned legacy haplotype A	local_previous_study	current_manuscript_input_unversioned	Retain only for exact manuscript reproduction; replace in the primary rebuild after the new A-F bundle is validated.
Actinidia_deliciosa_B	act_deliciosa_b_legacy	Actinidia deliciosa	legacy_study_individual	B	6x	unversioned legacy haplotype B	local_previous_study	current_manuscript_input_unversioned	Retain only for exact manuscript reproduction; replace in the primary rebuild after the new A-F bundle is validated.
Actinidia_deliciosa_C	act_deliciosa_c_legacy	Actinidia deliciosa	legacy_study_individual	C	6x	unversioned legacy haplotype C	local_previous_study	current_manuscript_input_unversioned	Retain only for exact manuscript reproduction; replace in the primary rebuild after the new A-F bundle is validated.
Actinidia_deliciosa_D	act_deliciosa_d_legacy	Actinidia deliciosa	legacy_study_individual	D	6x	unversioned legacy haplotype D	local_previous_study	current_manuscript_input_unversioned	Legacy species-tree representative was D; the suffix must remain visible.
Actinidia_deliciosa_E	act_deliciosa_e_legacy	Actinidia deliciosa	legacy_study_individual	E	6x	unversioned legacy haplotype E	local_previous_study	current_manuscript_input_unversioned	Retain only for exact manuscript reproduction; replace in the primary rebuild after the new A-F bundle is validated.
Actinidia_deliciosa_F	act_deliciosa_f_legacy	Actinidia deliciosa	legacy_study_individual	F	6x	unversioned legacy haplotype F	local_previous_study	current_manuscript_input_unversioned	Retain only for exact manuscript reproduction; replace in the primary rebuild after the new A-F bundle is validated.
Actinidia_eriantha	act_eriantha_mdhapa_legacy	Actinidia eriantha	MDHAPA	unphased	2x	GWHDOCT00000000	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHDOCT00000000	current_manuscript_input_excluded	Retain for reproduction and QC; the primary rebuild evaluates the 2026 HAP1/HAP2 pair.
