taxon_id	biological_species	role	current_asset_status	include_gene_loss_denominator	include_species_tree	selection_note
clem_scandens	Clematoclethra scandens	Actinidiaceae reference/sister lineage	identity_and_accession_to_be_revalidated	true	true	The legacy C. lasioclada versus C. scandens label conflict must be resolved before publication.
act_arguta	Actinidia arguta	Actinidia ingroup	legacy_A_B_C_D_units_exact_bound	candidate	candidate	A B C and D are four required independent gene-loss analysis units. Keep all four per-unit results; select one declared representative only for the compact publication topology.
act_chinensis	Actinidia chinensis	Actinidia ingroup	legacy_assembly_to_migrate_and_qc	candidate	candidate	Select one QC-passing biological-species representative for the primary tree; retain assembly units only in the diagnostic assembly-unit tree.
act_deliciosa	Actinidia deliciosa	Actinidia ingroup	qinmei_and_adm_candidates_pending_qc	candidate	candidate	Compare the Qinmei and ADM assemblies after complete-asset QC; A-F subgenomes are technical units, not six independent species tips.
act_eriantha	Actinidia eriantha	Actinidia ingroup	hap1_hap2_same_individual_pending_qc	candidate	candidate	Evaluate HAP1 and HAP2 separately for QC and concordance, then use a declared species-level representative or consensus in the primary tree.
act_hemsleyana	Actinidia hemsleyana	Actinidia ingroup	legacy_assembly_to_migrate_and_qc	candidate	candidate	Select one QC-passing biological-species representative for the primary tree; retain assembly units only in the diagnostic assembly-unit tree.
act_latifolia	Actinidia latifolia	Actinidia ingroup	legacy_assembly_to_migrate_and_qc	candidate	candidate	Select one QC-passing biological-species representative for the primary tree; retain assembly units only in the diagnostic assembly-unit tree.
act_longicarpa	Actinidia longicarpa	Actinidia ingroup	legacy_assembly_to_migrate_and_qc	candidate	candidate	Select one QC-passing biological-species representative for the primary tree; retain assembly units only in the diagnostic assembly-unit tree.
act_macrosperma	Actinidia macrosperma	Actinidia ingroup	legacy_assembly_to_migrate_and_qc	candidate	candidate	Select one QC-passing biological-species representative for the primary tree; retain assembly units only in the diagnostic assembly-unit tree.
act_polygama	Actinidia polygama	Actinidia ingroup	legacy_assembly_to_migrate_and_qc	candidate	candidate	Select one QC-passing biological-species representative for the primary tree; retain assembly units only in the diagnostic assembly-unit tree.
act_reticulata	Actinidia reticulata	Actinidia ingroup	legacy_assembly_to_migrate_and_qc	candidate	candidate	Select one QC-passing biological-species representative for the primary tree; retain assembly units only in the diagnostic assembly-unit tree.
act_rufa	Actinidia rufa	Actinidia ingroup	actinidiabase_v1_provisional_primary_aru_sensitivity_fuchu_annotation_blocked	candidate	candidate	ActinidiaBase v1 has the strongest exact current-input bidirectional JCVI coverage and is the provisional primary representative pending callable and orthogroup gates. ARU is an exact-bound assembly-swap sensitivity. Fuchu is excluded from the production ranking by five gene-to-multiple-protein conflicts. The alternatives are not biological replicates.
act_zhejiangensis	Actinidia x zhejiangensis	Actinidia ingroup confirmed hybrid	legacy_a_b_units_confirmed_hybrid	candidate	parental_lineage_model	Retain A and B as separate upright-suffix parental-lineage tips in the publication topology per-unit gene-loss tables and primary PGLS. Do not add a shared-individual constraint and do not require an A-B-pruned sensitivity.
coffea_arabica	Coffea arabica	legacy Gentianales outgroup	legacy_assets_soft_linked_pending_provenance	false	candidate	Use the existing bundle in the minimal primary set only after identity provenance annotation BUSCO and occupancy pass; no new Coffea download is planned.
coffea_canephora	Coffea canephora	unacquired diploid Rubiaceae alternative	not_acquired_minimal_outgroup_policy	false	false	Do not acquire under the minimal-outgroup policy; the existing C. arabica bundle and the acquired Catharanthus swap cover the declared rooting tests.
rubia_or_cinchona	Rubia or Cinchona species	unacquired Rubiaceae fossil-bracketing candidate	not_acquired_minimal_outgroup_policy	false	false	Do not acquire; the internal Rubiaceae candidate remains disabled and Catharanthus cannot substitute for a Rubiaceae descendant.
rhodo_delavayi	Rhododendron delavayi	legacy Ericales comparison	legacy_assets_soft_linked_pending_provenance	false	candidate	Do not automatically retain all three Rhododendron species.
rhodo_simsii	Rhododendron simsii	legacy Ericales comparison	legacy_assets_soft_linked_pending_provenance	false	candidate	Select outgroups based on accession quality and calibration design.
rhodo_vialii	Rhododendron vialii	legacy Ericales comparison	legacy_assets_soft_linked_pending_provenance	false	candidate	A high-quality representative may be preferred for the new tree.
non_rhododendron_ericaceae	Cyrilla or Clethra species	unacquired Ericaceae fossil-bracketing candidate	not_acquired_minimal_outgroup_policy	false	false	Do not acquire; select one existing Rhododendron for topology context and keep Ericaceae fossil candidates disabled.
actinidiaceae_sister_outgroup	Roridula or Sarracenia species	unacquired Actinidiaceae stem-bracketing candidate	not_acquired_minimal_outgroup_policy	false	false	Do not acquire; keep the Parasaurauia placement disabled because the compatible bracket is absent.
vitis_vinifera	Vitis vinifera	distant rosid root and WGD comparison taxon	legacy_assets_soft_linked_pending_provenance	false	candidate	Retain the existing asset in the minimal set after accession/release protein-compatibility BUSCO and occupancy closure; Vitis alone activates no fossil.
leea_coccinea	Leea coccinea	conditional Vitales rooting diagnostic	exact_zenodo_phased_contig_genome_gff_selected	false	candidate	Use at most one QC-passing Lco1464 haplotype only if the predeclared Vitis-only versus Vitis-plus-Leea rooting diagnostic adds value; h1 and h2 are one individual and Leea cannot bracket crown Vitoideae with Vitis.
catharanthus_roseus	Catharanthus roseus	conditional Coffea rooting replacement	exact_ncbi_matched_bundle_selected	false	candidate	Use GCA_024505715.1 only in the declared one-for-one Coffea rooting sensitivity after compatibility and occupancy QC; it cannot bracket an internal Rubiaceae fossil.
saurauia_tristyla	Saurauia tristyla	Published Actinidiaceae topology/age context only	published_tree_only_its_record_no_angiosperms353_loci	false	false	The archive has no S. tristyla assembled Angiosperms353 record and only an ITS-supported terminal. Do not graft it and do not acquire rescue reads under the minimal-outgroup policy.
ampelocissus_or_nothocissus	Ampelocissus or Nothocissus species	unacquired Vitoideae fossil-bracketing candidate	not_acquired_minimal_outgroup_policy	false	false	Do not acquire under the minimal policy; Indovitis remains disabled because Vitis is the only current Vitoideae tip and Leea lies outside Vitoideae.
