catalog_id	biological_species	biological_accession	assembly_unit_label	year	assembly_accession	alternate_accessions	accession_version_status	bioproject	ploidy_or_representation	assembly_scope	public_genome	public_gff	public_cds	public_protein	classification	deduplication_group	biological_independence	repository_url	publication_doi	decision_note
act_arguta_m1_2024	Actinidia arguta	M1	whole_assembly	2024	GWHBJWW00000000	none	repository_root_version_unverified	PRJCA010661	tetraploid_4x	chromosome_level_116_chromosomes	yes	yes	yes	yes	primary_replacement_candidate	arguta_m1_2024	independent_accession	https://ngdc.cncb.ac.cn/gwh/Assembly/83526/show	10.1016/j.xplc.2024.100856	Full annotated tetraploid candidate; freeze the exact repository version and checksums before analysis.
act_arguta_ky_aar_2025	Actinidia arguta	KY_Aar	whole_assembly	2025	GWHFIKU00000000.1	none	versioned_accession	PRJCA033191	ploidy_not_verified	chromosome_level_29_chromosomes_plus_other_sequences	yes	yes	yes	yes	sensitivity	arguta_ky_aar_2025	independent_accession	https://ngdc.cncb.ac.cn/gwh/Assembly/88099/show	not_available	Annotated candidate; verify ploidy and chromosome scope before comparing it with the tetraploid primary design.
act_chinensis_biyu_h1_2024	Actinidia chinensis	Biyu	phased_haplome_1	2024	GWHESRM00000000	none	repository_root_version_unverified	PRJCA026075	diploid_2x	chromosome_level_haplome	yes	no	no	no	unavailable	chinensis_biyu_2024	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHESRM00000000	10.1002/advs.202400322	Official GWH DNA is public but the exact BRAKER2 annotation reported by the paper is not available from GWH; this haplome is not an independent species replicate.
act_chinensis_biyu_h2_2024	Actinidia chinensis	Biyu	phased_haplome_2	2024	GWHESRI00000000	none	repository_root_version_unverified	PRJCA026075	diploid_2x	chromosome_level_haplome	yes	no	no	no	unavailable	chinensis_biyu_2024	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHESRI00000000	10.1002/advs.202400322	Official GWH DNA is public but the exact BRAKER2 annotation reported by the paper is not available from GWH; this haplome is not an independent species replicate.
act_chinensis_huangyang_h1_2024	Actinidia chinensis	Huangyang	phased_haplome_1	2024	GWHESRJ00000000	none	repository_root_version_unverified	PRJCA026075	diploid_2x	chromosome_level_haplome	yes	no	no	no	unavailable	chinensis_huangyang_2024	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHESRJ00000000	10.1002/advs.202400322	Official GWH DNA is public but the exact BRAKER2 annotation reported by the paper is not available from GWH; this haplome is not an independent species replicate.
act_chinensis_huangyang_h2_2024	Actinidia chinensis	Huangyang	phased_haplome_2	2024	GWHESRK00000000	none	repository_root_version_unverified	PRJCA026075	diploid_2x	chromosome_level_haplome	yes	no	no	no	unavailable	chinensis_huangyang_2024	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHESRK00000000	10.1002/advs.202400322	Official GWH DNA is public but the exact BRAKER2 annotation reported by the paper is not available from GWH; this haplome is not an independent species replicate.
act_chinensis_hort16a_h1_2024	Actinidia chinensis	Hort16A	phased_haplome_1	2024	GWHESRQ00000000	none	repository_root_version_unverified	PRJCA026075	diploid_2x	chromosome_level_haplome	yes	no	no	no	unavailable	chinensis_hort16a_2024	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHESRQ00000000	10.1002/advs.202400322	Official GWH DNA is public but the exact BRAKER2 annotation reported by the paper is not available from GWH; this haplome is not an independent species replicate.
act_chinensis_hort16a_h2_2024	Actinidia chinensis	Hort16A	phased_haplome_2	2024	GWHESRP00000000	none	repository_root_version_unverified	PRJCA026075	diploid_2x	chromosome_level_haplome	yes	no	no	no	unavailable	chinensis_hort16a_2024	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHESRP00000000	10.1002/advs.202400322	Official GWH DNA is public but the exact BRAKER2 annotation reported by the paper is not available from GWH; this haplome is not an independent species replicate.
act_chinensis_jinmi_h1_2024	Actinidia chinensis	Jinmi	phased_haplome_1	2024	GWHESRO00000000	none	repository_root_version_unverified	PRJCA026075	diploid_2x	chromosome_level_haplome	yes	no	no	no	unavailable	chinensis_jinmi_2024	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHESRO00000000	10.1002/advs.202400322	Official GWH DNA is public but the exact BRAKER2 annotation reported by the paper is not available from GWH; this haplome is not an independent species replicate.
act_chinensis_jinmi_h2_2024	Actinidia chinensis	Jinmi	phased_haplome_2	2024	GWHESRN00000000	none	repository_root_version_unverified	PRJCA026075	diploid_2x	chromosome_level_haplome	yes	no	no	no	unavailable	chinensis_jinmi_2024	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHESRN00000000	10.1002/advs.202400322	Official GWH DNA is public but the exact BRAKER2 annotation reported by the paper is not available from GWH; this haplome is not an independent species replicate.
act_chinensis_jinpai_h1_2024	Actinidia chinensis	Jinpai	phased_haplome_1	2024	GWHESRU00000000	none	repository_root_version_unverified	PRJCA026075	diploid_2x	chromosome_level_haplome	yes	no	no	no	unavailable	chinensis_jinpai_2024	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHESRU00000000	10.1002/advs.202400322	Official GWH DNA is public but the exact BRAKER2 annotation reported by the paper is not available from GWH; this haplome is not an independent species replicate.
act_chinensis_jinpai_h2_2024	Actinidia chinensis	Jinpai	phased_haplome_2	2024	GWHESRH00000000	none	repository_root_version_unverified	PRJCA026075	diploid_2x	chromosome_level_haplome	yes	no	no	no	unavailable	chinensis_jinpai_2024	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHESRH00000000	10.1002/advs.202400322	Official GWH DNA is public but the exact BRAKER2 annotation reported by the paper is not available from GWH; this haplome is not an independent species replicate.
act_chinensis_zps18_h1_2024	Actinidia chinensis	Zps18	phased_haplome_1	2024	GWHESRS00000000	none	repository_root_version_unverified	PRJCA026075	diploid_2x	chromosome_level_haplome	yes	no	no	no	unavailable	chinensis_zps18_2024	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHESRS00000000	10.1002/advs.202400322	Official GWH DNA is public but the exact BRAKER2 annotation reported by the paper is not available from GWH; this haplome is not an independent species replicate.
act_chinensis_zps18_h2_2024	Actinidia chinensis	Zps18	phased_haplome_2	2024	GWHESRR00000000	none	repository_root_version_unverified	PRJCA026075	diploid_2x	chromosome_level_haplome	yes	no	no	no	unavailable	chinensis_zps18_2024	paired_haplotype_same_accession	https://ngdc.cncb.ac.cn/gwh/api/public/assembly/GWHESRR00000000	10.1002/advs.202400322	Official GWH DNA is public but the exact BRAKER2 annotation reported by the paper is not available from GWH; this haplome is not an independent species replicate.
