assembly_unit_id	biological_species	unit_suffix	production_source	required_per_unit_steps	aggregation_role
act_arguta_a_legacy	Actinidia arguta	A	legacy_exact_bound	JCVI;SynOrths;translated_search;callable_state;gene_loss	independent_unit_plus_species_summary
act_arguta_b_legacy	Actinidia arguta	B	legacy_exact_bound	JCVI;SynOrths;translated_search;callable_state;gene_loss	independent_unit_plus_species_summary
act_arguta_c_legacy	Actinidia arguta	C	legacy_exact_bound	JCVI;SynOrths;translated_search;callable_state;gene_loss	independent_unit_plus_species_summary
act_arguta_d_legacy	Actinidia arguta	D	legacy_exact_bound	JCVI;SynOrths;translated_search;callable_state;gene_loss	independent_unit_plus_species_summary
act_deliciosa_adm_2026_A	Actinidia deliciosa	A	ADM_2026_strict	JCVI;SynOrths;translated_search;callable_state;gene_loss	independent_unit_plus_species_summary
act_deliciosa_adm_2026_B	Actinidia deliciosa	B	ADM_2026_strict	JCVI;SynOrths;translated_search;callable_state;gene_loss	independent_unit_plus_species_summary
act_deliciosa_adm_2026_C	Actinidia deliciosa	C	ADM_2026_strict	JCVI;SynOrths;translated_search;callable_state;gene_loss	independent_unit_plus_species_summary
act_deliciosa_adm_2026_D	Actinidia deliciosa	D	ADM_2026_strict	JCVI;SynOrths;translated_search;callable_state;gene_loss	independent_unit_plus_species_summary
act_deliciosa_adm_2026_E	Actinidia deliciosa	E	ADM_2026_strict	JCVI;SynOrths;translated_search;callable_state;gene_loss	independent_unit_plus_species_summary
act_deliciosa_adm_2026_F	Actinidia deliciosa	F	ADM_2026_strict	JCVI;SynOrths;translated_search;callable_state;gene_loss	independent_unit_plus_species_summary
act_eriantha_hap1_2026	Actinidia eriantha	HAP1	Figshare_v1_strict	JCVI;SynOrths;translated_search;callable_state;gene_loss	independent_unit_plus_species_summary
act_eriantha_hap2_2026	Actinidia eriantha	HAP2	Figshare_v1_strict	JCVI;SynOrths;translated_search;callable_state;gene_loss	independent_unit_plus_species_summary
act_zhejiangensis_a_legacy	Actinidia x zhejiangensis	A	legacy_exact_bound	JCVI;SynOrths;translated_search;callable_state;gene_loss	independent_parental_lineage
act_zhejiangensis_b_legacy	Actinidia x zhejiangensis	B	legacy_exact_bound	JCVI;SynOrths;translated_search;callable_state;gene_loss	independent_parental_lineage
