assembly_unit_id	source_sample	source_accession	basic_stats_table	genome_busco_table	protein_busco_table	primary_annotation_manifest	biological_species	individual_id	haplotype_or_subgenome	accession	publisher_assembly_scope	local_qc_scope	publisher_assembly_provenance	publisher_annotation_provenance	publisher_protein_provenance	decision_reason
act_arguta_a_legacy	act_arguta_a_legacy	GWHERBY00000000 haplotype A	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_basic_stats_public.tsv	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_genome_busco_public.tsv	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_protein_busco_public.tsv	NA	Actinidia arguta	legacy_study_individual	A	GWHERBY00000000 haplotype A	registered 29-chromosome haplotype release	29 chromosomes retained	canonical_accession:GWHERBY00000000	canonical_accession:GWHERBY00000000	canonical_accession:GWHERBY00000000	Exact-bound legacy unit retained; no BUSCO rerun.
act_arguta_b_legacy	act_arguta_b_legacy	GWHERBY00000000 haplotype B	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_basic_stats_public.tsv	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_genome_busco_public.tsv	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_protein_busco_public.tsv	NA	Actinidia arguta	legacy_study_individual	B	GWHERBY00000000 haplotype B	registered 29-chromosome haplotype release	29 chromosomes retained	canonical_accession:GWHERBY00000000	canonical_accession:GWHERBY00000000	canonical_accession:GWHERBY00000000	Exact-bound legacy unit retained; no BUSCO rerun.
act_arguta_c_legacy	act_arguta_c_legacy	GWHERBY00000000 haplotype C	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_basic_stats_public.tsv	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_genome_busco_public.tsv	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_protein_busco_public.tsv	NA	Actinidia arguta	legacy_study_individual	C	GWHERBY00000000 haplotype C	registered 29-chromosome haplotype release	29 chromosomes retained	canonical_accession:GWHERBY00000000	canonical_accession:GWHERBY00000000	canonical_accession:GWHERBY00000000	Exact-bound legacy unit and species-tree representative retained; no BUSCO rerun.
act_arguta_d_legacy	act_arguta_d_legacy	GWHERBY00000000 haplotype D	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_basic_stats_public.tsv	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_genome_busco_public.tsv	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_protein_busco_public.tsv	NA	Actinidia arguta	legacy_study_individual	D	GWHERBY00000000 haplotype D	registered 29-chromosome haplotype release	29 chromosomes retained	canonical_accession:GWHERBY00000000	canonical_accession:GWHERBY00000000	canonical_accession:GWHERBY00000000	Exact-bound legacy unit retained; no BUSCO rerun.
act_chinensis_hongyang_v4_hy4a_legacy	act_chinensis_a_legacy	GWHDODM00000000 haplotype A	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_basic_stats_public.tsv	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_genome_busco_public.tsv	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_protein_busco_public.tsv	NA	Actinidia chinensis	Hongyang_v4	HY4A	Hongyang v4.0 HY4A	registered 29-chromosome haplome	29 chromosomes retained	https://github.com/aaranyue/Hongyang-v4.0	https://github.com/aaranyue/Hongyang-v4.0	https://github.com/aaranyue/Hongyang-v4.0	Legacy table label corrected from GWHDODM to the checksum-bound Hongyang v4 HY4A identity.
act_chinensis_hongyang_v4_hy4p_legacy	act_chinensis_b_legacy	GWHDODM00000000 haplotype B	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_basic_stats_public.tsv	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_genome_busco_public.tsv	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_protein_busco_public.tsv	NA	Actinidia chinensis	Hongyang_v4	HY4P	Hongyang v4.0 HY4P	registered 29-chromosome haplome	29 chromosomes retained	https://github.com/aaranyue/Hongyang-v4.0	https://github.com/aaranyue/Hongyang-v4.0	https://github.com/aaranyue/Hongyang-v4.0	Legacy table label corrected from GWHDODM to the checksum-bound Hongyang v4 HY4P identity.
act_hemsleyana_legacy	act_hemsleyana_legacy	GWHCBQA00000000	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_basic_stats_public.tsv	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_genome_busco_public.tsv	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_protein_busco_public.tsv	NA	Actinidia hemsleyana	legacy_study_individual	unphased	GWHCBQA00000000	registered 29-chromosome assembly	29 chromosomes retained	canonical_accession:GWHCBQA00000000	canonical_accession:GWHCBQA00000000	canonical_accession:GWHCBQA00000000	Exact-bound legacy unit retained; no BUSCO rerun.
act_latifolia_legacy	act_latifolia_legacy	ActinidiaBase default assembly (unversioned)	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_basic_stats_public.tsv	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_genome_busco_public.tsv	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_protein_busco_public.tsv	NA	Actinidia latifolia	legacy_study_individual	unphased	ActinidiaBase unversioned	registered 29-chromosome assembly	29 chromosomes retained	http://actinidiabase.moilab.net/	http://actinidiabase.moilab.net/	http://actinidiabase.moilab.net/	Exact-bound legacy gene-loss unit retained; phylogeny proteins were independently re-extracted from genome plus GFF.
act_longicarpa_legacy	act_longicarpa_legacy	ActinidiaBase default assembly (unversioned)	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_basic_stats_public.tsv	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_genome_busco_public.tsv	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_protein_busco_public.tsv	NA	Actinidia longicarpa	legacy_study_individual	unphased	ActinidiaBase unversioned	registered 29-chromosome assembly	29 chromosomes retained	http://actinidiabase.moilab.net/	http://actinidiabase.moilab.net/	http://actinidiabase.moilab.net/	Exact-bound legacy unit retained; no BUSCO rerun.
act_macrosperma_legacy	act_macrosperma_legacy	ActinidiaBase default assembly (unversioned)	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_basic_stats_public.tsv	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_genome_busco_public.tsv	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_protein_busco_public.tsv	NA	Actinidia macrosperma	legacy_study_individual	unresolved polyploid unit	ActinidiaBase unversioned	registered 29-chromosome assembly	29 chromosomes retained	http://actinidiabase.moilab.net/	http://actinidiabase.moilab.net/	http://actinidiabase.moilab.net/	Exact-bound legacy unit retained; not interpreted as four independent haplotypes.
act_polygama_legacy	act_polygama_legacy	ActinidiaBase default assembly (unversioned)	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_basic_stats_public.tsv	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_genome_busco_public.tsv	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_protein_busco_public.tsv	NA	Actinidia polygama	legacy_study_individual	unphased	ActinidiaBase unversioned	registered 29-chromosome assembly	29 chromosomes retained	http://actinidiabase.moilab.net/	http://actinidiabase.moilab.net/	http://actinidiabase.moilab.net/	Exact-bound legacy unit retained; no BUSCO rerun.
act_reticulata_legacy	act_reticulata_legacy	ActinidiaBase default assembly (unversioned)	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_basic_stats_public.tsv	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_genome_busco_public.tsv	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_protein_busco_public.tsv	NA	Actinidia reticulata	legacy_study_individual	unphased	ActinidiaBase unversioned	registered 29-chromosome assembly	29 chromosomes retained	http://actinidiabase.moilab.net/	http://actinidiabase.moilab.net/	http://actinidiabase.moilab.net/	Exact-bound legacy unit retained; no BUSCO rerun.
act_zhejiangensis_a_legacy	act_zhejiangensis_a_legacy	GWHCBQB00000000 haplotype A	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_basic_stats_public.tsv	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_genome_busco_public.tsv	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_protein_busco_public.tsv	NA	Actinidia x zhejiangensis	legacy_hybrid_individual	A	GWHCBQB00000000 haplotype A	registered 29-chromosome haplotype release	29 chromosomes retained	canonical_accession:GWHCBQB00000000	canonical_accession:GWHCBQB00000000	canonical_accession:GWHCBQB00000000	Kept as a separate primary parental-lineage row as requested.
act_zhejiangensis_b_legacy	act_zhejiangensis_b_legacy	GWHCBQB00000000 haplotype B	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_basic_stats_public.tsv	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_genome_busco_public.tsv	qc/legacy_actinidia_qc_reuse_20260717/legacy_qc_protein_busco_public.tsv	NA	Actinidia x zhejiangensis	legacy_hybrid_individual	B	GWHCBQB00000000 haplotype B	registered 29-chromosome haplotype release	29 chromosomes retained	canonical_accession:GWHCBQB00000000	canonical_accession:GWHCBQB00000000	canonical_accession:GWHCBQB00000000	Kept as a separate primary parental-lineage row as requested.
act_deliciosa_adm_2026_A	act_deliciosa_adm_2026_A	GWHJJEQ00000000.1	qc/public_candidates/basic_stats_deliciosa_adm_units_20260716.tsv	qc/public_candidates/busco_genome_adm_units_20260717/busco_summary.exact.tsv	qc/public_candidates/busco_protein_adm_units_20260717/busco_summary.exact.tsv	standardized/deliciosa_adm_2026_A_to_F/assembly_units/act_deliciosa_adm_2026_A/primary_annotation_strict/run_manifest.json	Actinidia deliciosa	ADM_2026	A	GWHJJEQ00000000.1	174-chromosome publisher bundle partitioned A-F	29 chromosome unit A retained	https://ngdc.cncb.ac.cn/gwh/Assembly/81019/show	https://ngdc.cncb.ac.cn/gwh/Assembly/81019/show	https://ngdc.cncb.ac.cn/gwh/Assembly/81019/show	New exact ADM unit; strict longest-valid-spliced-CDS primary gene set.
act_deliciosa_adm_2026_B	act_deliciosa_adm_2026_B	GWHJJEQ00000000.1	qc/public_candidates/basic_stats_deliciosa_adm_units_20260716.tsv	qc/public_candidates/busco_genome_adm_units_20260717/busco_summary.exact.tsv	qc/public_candidates/busco_protein_adm_units_20260717/busco_summary.exact.tsv	standardized/deliciosa_adm_2026_A_to_F/assembly_units/act_deliciosa_adm_2026_B/primary_annotation_strict/run_manifest.json	Actinidia deliciosa	ADM_2026	B	GWHJJEQ00000000.1	174-chromosome publisher bundle partitioned A-F	29 chromosome unit B retained	https://ngdc.cncb.ac.cn/gwh/Assembly/81019/show	https://ngdc.cncb.ac.cn/gwh/Assembly/81019/show	https://ngdc.cncb.ac.cn/gwh/Assembly/81019/show	New exact ADM unit; strict longest-valid-spliced-CDS primary gene set.
